# name, ra, dec, redshift, major axis, axis ratio, position angle, frequency, refcode 
NGC 0766, 29.67497, 8.34684, 0.026023, -99.99, -99.99, -99.99, -99.99, -- 
WISEA J015846.81+054721.0, 29.69507, 5.78919, 0.094535, 16.6, 0.88, 70.0, 138000000000000.0,  20032MASX.C.......:  
WISEA J015846.91+060737.7, 29.69549, 6.12715, 0.097681, -99.99, -99.99, -99.99, -99.99, -- 
NGC 0765, 29.70012, 24.89246, 0.017078, 80.4, 0.66, 25.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0741:[ZM98] 0133, 29.71167, 5.87861, 0.095289, -99.99, -99.99, -99.99, -99.99, -- 
NGC 0767, 29.71171, -9.58713, 0.018047, 9.17, 0.32, 170.0, 477000000000000.0,  2007SDSS6.C...0000:  
WISEA J015850.94+052134.8, 29.71228, 5.35967, 0.017832, 20.8, 0.76, 170.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0773, 29.71651, -11.51479, 0.018119, 62.6, 0.54, 0.0, 138000000000000.0,  20032MASX.C.......:  
IC 1761, 29.71789, 0.56832, 0.023269, 2.82, 0.72, 69.0, 477000000000000.0,  2007SDSS6.C...0000:  
CGCG 413-020, 29.72199, 5.41755, 0.01871, 29.4, 0.66, 50.0, 138000000000000.0,  20032MASX.C.......:  
UGC 01461, 29.72244, 5.59426, 0.01945, 48.2, 0.2, 170.0, 138000000000000.0,  20032MASX.C.......:  
IC 0178, 29.72838, 36.67484, 0.016138, 49.6, 0.82, 130.0, 138000000000000.0,  20032MASX.C.......:  
WISEA J015858.60+185740.3, 29.7442, 18.96122, 0.065645, 21.6, 0.8, 120.0, 138000000000000.0,  20032MASX.C.......:  
WISEA J015900.91+055802.6, 29.7538, 5.96741, 0.094852, 10.0, 1.0, 90.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0802, 29.77508, -67.87023, 0.00492, 31.0, 0.74, 155.0, 138000000000000.0,  20032MASX.C.......:  
WISEA J015907.22+185736.4, 29.78009, 18.96013, 0.067293, 14.6, 0.94, 35.0, 138000000000000.0,  20032MASX.C.......:  
IC 1763, 29.79882, -27.81055, 0.015067, 44.0, 0.52, 40.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0770, 29.80685, 18.95466, 0.008249, 40.6, 0.68, 10.0, 138000000000000.0,  20032MASX.C.......:  
KUG 0156+052, 29.80968, 5.50832, 0.017686, 24.4, 0.46, 105.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0772, 29.83143, 19.00771, 0.008236, 210.4, 0.8, 135.0, 138000000000000.0,  2003AJ....125..525J  
WISEA J015924.64+053535.8, 29.85269, 5.59329, 0.017896, 20.2, 0.38, 30.0, 138000000000000.0,  20032MASX.C.......:  
IC 0183, 29.89192, -5.34714, 0.012429, 53.2, 0.38, 95.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0774, 29.89471, 14.00823, 0.015326, 7.11, 0.68, 165.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 0769, 29.8992, 30.90991, 0.014737, 55.6, 0.52, 85.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0779, 29.92635, -5.96325, 0.00464, 52.3, nan, nan, 681000000000000.0,  1991RC3.9.C...0000d  
NGC 0795, 29.95565, -55.82415, 0.01944, 45.8, 0.74, 145.0, 138000000000000.0,  20032MASX.C.......:  
2MASX J01594969-0618003, 29.95721, -6.29992, 0.04282, 15.2, 0.78, 100.0, 138000000000000.0,  20032MASX.C.......:  
IC 0184, 29.96358, -6.8401, 0.017952, 48.4, 0.56, 170.0, 138000000000000.0,  20032MASX.C.......:  
IC 0182, 29.9658, 7.41183, 0.015734, 53.2, 0.34, 35.0, 138000000000000.0,  20032MASX.C.......:  
WISEA J015952.64-055718.8, 29.96935, -5.95523, 0.087427, 15.2, 0.62, 120.0, 138000000000000.0,  20032MASX.C.......:  
WISEA J015953.54-054100.5, 29.9731, -5.68349, 0.052393, 16.0, 0.86, 0.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0776, 29.97714, 23.64432, 0.016408, 74.6, 0.58, 135.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0765a, 29.98542, 24.97583, 0.016295, -99.99, -99.99, -99.99, -99.99, -- 
IC 1767, 29.99745, -11.07897, 0.017489, 49.4, 0.58, 80.0, 138000000000000.0,  20032MASX.C.......:  
IC 0180, 30.00174, 23.60434, 0.016371, 41.4, 0.48, 155.0, 138000000000000.0,  20032MASX.C.......:  
IC 0181, 30.00974, 23.65864, 0.024651, 23.2, 0.72, 35.0, 138000000000000.0,  20032MASX.C.......:  
IC 0185, 30.02524, -1.52833, 0.043997, 32.4, 0.52, 75.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0781, 30.03741, 12.65613, 0.011618, 4.89, 0.41, 10.0, 477000000000000.0,  2007SDSS6.C...0000:  
IC 0179, 30.0479, 38.02129, 0.01404, 63.2, 0.74, 95.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0777, 30.06209, 31.42944, 0.016728, -99.99, -99.99, -99.99, -99.99, -- 
KUG 0157-063, 30.06451, -6.09167, 0.018089, 39.2, 0.58, 40.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0778, 30.08093, 31.31307, 0.018123, 59.8, 0.5, 155.0, 138000000000000.0,  20032MASX.C.......:  
IC 1764, 30.09736, 24.58054, 0.016895, 63.4, 0.46, 175.0, 138000000000000.0,  20032MASX.C.......:  
IC 0186A, 30.10005, -1.55292, 0.04279, 44.4, 0.68, 20.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0780, 30.14681, 28.22527, 0.017422, 54.8, 0.62, 170.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0787, 30.20256, -9.00257, 0.015832, 9.42, 0.87, 83.0, 477000000000000.0,  2007SDSS6.C...0000:  
IC 1768, 30.20783, -25.02671, 0.01493, 51.8, 0.74, 70.0, 138000000000000.0,  20032MASX.C.......:  
IC 1769, 30.22901, -31.91985, 0.018289, 45.4, 0.32, 80.0, 138000000000000.0,  20032MASX.C.......:  
WISEA J020057.53-053428.4, 30.23975, -5.57456, 0.017812, 15.2, 0.66, 170.0, 138000000000000.0,  20032MASX.C.......:  
MCG -01-06-024, 30.24711, -5.50923, 0.017949, 55.0, 0.36, 175.0, 138000000000000.0,  20032MASX.C.......:  
2MFGC 01536, 30.25642, -5.6351, 0.018796, 35.8, 0.36, 110.0, 138000000000000.0,  20032MASX.C.......:  
WISEA J020104.23-064015.8, 30.26765, -6.67106, 0.042393, 14.8, 0.92, 75.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0788, 30.27686, -6.81552, 0.01402, 75.2, 0.74, 100.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0783, 30.27757, 31.88246, 0.017312, 67.2, 0.82, 165.0, 138000000000000.0,  20032MASX.C.......:  
UGC 01500, 30.30082, 19.67481, 0.008116, 33.4, 0.32, 155.0, 138000000000000.0,  20032MASX.C.......:  
2MFGC 01539, 30.31474, -5.7715, 0.012642, 31.4, 0.24, 160.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0784, 30.32044, 28.83674, 0.00066, 100.8, 0.28, 3.0, 138000000000000.0,  2003AJ....125..525J  
NGC 0790, 30.34006, -5.3709, 0.017772, 53.2, 0.92, 175.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0786, 30.35301, 15.6464, 0.01491, 41.6, 0.78, 5.0, 138000000000000.0,  20032MASX.C.......:  
IC 0187, 30.37825, 26.48105, 0.017165, 65.3, 0.56, 50.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0813, 30.40024, -68.43919, 0.026992, 51.0, 0.76, 95.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0785, 30.41677, 31.8265, 0.016628, 58.0, 0.72, 90.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0791, 30.43436, 8.49994, 0.026802, 50.6, 0.88, 5.0, 138000000000000.0,  20032MASX.C.......:  
IC 0188, 30.44356, 26.54676, 0.016682, 45.6, 0.48, 55.0, 138000000000000.0,  20032MASX.C.......:  
IC 0189, 30.47054, 23.55147, 0.041172, 41.0, 0.52, 70.0, 138000000000000.0,  20032MASX.C.......:  
WISEA J020154.89-055952.3, 30.47874, -5.99787, 0.018233, 20.2, 0.5, 35.0, 138000000000000.0,  20032MASX.C.......:  
IC 0190, 30.5304, 23.54987, 0.015908, 34.8, 0.68, 105.0, 138000000000000.0,  20032MASX.C.......:  
WISEA J020210.17-063839.0, 30.54248, -6.64449, 0.042283, 14.6, 0.62, 160.0, 138000000000000.0,  20032MASX.C.......:  
WISEA J020211.17-060549.8, 30.54654, -6.09718, 0.087157, 14.8, 0.9, 100.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0800, 30.54935, -0.13038, 0.01977, 8.82, 0.74, 9.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 0799, 30.55139, -0.10065, 0.019757, 6.89, 0.71, 42.0, 477000000000000.0,  2007SDSS6.C...0000:  
MCG -01-06-031, 30.55514, -6.07833, 0.016672, 55.2, 0.24, 170.0, 138000000000000.0,  20032MASX.C.......:  
IC 1770, 30.55992, 9.98092, 0.015287, 43.4, 0.88, 55.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0792, 30.56388, 15.71215, 0.015504, 53.4, 0.54, 130.0, 138000000000000.0,  20032MASX.C.......:  
IC 1771, 30.56605, 9.96857, 0.015988, 30.4, 0.92, 45.0, 138000000000000.0,  20032MASX.C.......:  
UGC 01519, 30.57, 19.17972, 0.007835, 64.3, 0.55, 40.0, 681000000000000.0,  1991RC3.9.C...0000d  
WISEA J020218.43-061211.7, 30.5768, -6.20326, 0.052436, 23.0, 0.8, 130.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0789, 30.60855, 32.07228, 0.017569, 43.8, 0.68, 5.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0794, 30.62222, 18.37303, 0.027436, 62.2, 0.84, 50.0, 138000000000000.0,  20032MASX.C.......:  
IC 0193, 30.62914, 11.09305, 0.015506, 40.8, 0.84, 10.0, 138000000000000.0,  20032MASX.C.......:  
IC 0192, 30.63494, 16.01423, 0.012986, 35.2, 0.8, 150.0, 138000000000000.0,  20032MASX.C.......:  
IC 1772, 30.67826, 7.74592, 0.025965, 12.0, 1.0, nan, 740000000000000.0,  1963MCG3..C...0000V  
IC 0194, 30.77177, 2.6142, 0.021305, 84.2, 0.18, 10.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0798, 30.83172, 32.07751, 0.016975, 56.0, 0.42, 135.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0797 NED01, 30.85239, 38.11218, 0.018886, 20.8, 0.64, 125.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0797 NED02, 30.86651, 38.1169, 0.01886, 60.0, 0.64, 70.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0806, 30.87967, -9.93333, 0.013156, 8.93, 0.24, 55.0, 477000000000000.0,  2007SDSS6.C...0000:  
IC 0195, 30.93589, 14.70928, 0.012167, 3.92, 0.66, 145.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 0803, 30.93641, 16.03116, 0.007008, 84.8, 0.48, 15.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0801, 30.93665, 38.25879, 0.019237, 97.4, 0.36, 155.0, 138000000000000.0,  20032MASX.C.......:  
IC 0196, 30.9575, 14.73914, 0.012093, 6.64, 0.48, 10.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 0808, 30.98587, -23.31165, 0.016558, 55.2, 0.46, 25.0, 138000000000000.0,  20032MASX.C.......:  
IC 1774, 30.99581, 15.31802, 0.012102, 72.8, 0.87, 101.0, 468000000000000.0,  1994A&AS..106..451D  
NGC 0804, 31.0088, 30.83293, 0.017575, 51.6, 0.38, 5.0, 138000000000000.0,  20032MASX.C.......:  
IC 0197, 31.02066, 2.78682, 0.021068, 46.0, 0.5, 55.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0809, 31.07908, -8.7353, 0.017812, 4.54, 0.72, 176.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 0805, 31.12329, 28.81232, 0.015164, 50.4, 0.6, 100.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0811, 31.1454, -10.10838, 0.006414, 5.16, 0.76, 65.0, 477000000000000.0,  2004SDSS2.C...0000:  
NGC 0807, 31.23188, 28.98751, 0.015891, 74.4, 0.66, 145.0, 138000000000000.0,  20032MASX.C.......:  
IC 1776, 31.31342, 6.10683, 0.011378, 37.0, 0.52, 10.0, 138000000000000.0,  20032MASX.C.......:  
IC 1775, 31.32299, 13.50572, 0.025827, 8.97, 0.91, 151.0, 477000000000000.0,  2007SDSS6.C...0000:  
IC 0200, 31.36111, 31.17532, 0.017582, 73.4, 0.38, 145.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0810 NED01, 31.36871, 13.25112, 0.025917, 0.11, 0.96, 144.0, 477000000000000.0,  2004SDSS2.C...0000:  
NGC 0810, 31.37042, 13.25139, 0.025568, -99.99, -99.99, -99.99, -99.99, -- 
NGC 0810 NED02, 31.372, 13.25105, 0.024694, 3.49, 0.64, 123.0, 477000000000000.0,  2007SDSS6.C...0000:  
IC 0198, 31.51307, 9.29554, 0.030831, 36.8, 0.58, 50.0, 138000000000000.0,  20032MASX.C.......:  
IC 1777, 31.53635, 15.20951, 0.042523, 40.0, 0.9, 130.0, 138000000000000.0,  20032MASX.C.......:  
IC 0199, 31.58087, 9.22744, 0.030751, 49.6, 0.46, 15.0, 138000000000000.0,  20032MASX.C.......:  
IC 1779, 31.60821, 3.70596, 0.031922, 26.2, 0.76, 120.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0822, 31.66312, -41.15672, 0.018112, 44.4, 0.72, 65.0, 138000000000000.0,  20032MASX.C.......:  
IC 1780, 31.71314, 14.72202, 0.034607, 6.0, 0.52, 9.0, 477000000000000.0,  2007SDSS6.C...0000:  
IC 1781, 31.71993, -0.51796, 0.043359, 4.65, 0.91, 126.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 0824, 31.7219, -36.45311, 0.01938, 70.8, 0.4, 20.0, 138000000000000.0,  20032MASX.C.......:  
IC 0201, 31.81383, 9.11509, 0.0346, 20.0, 0.82, 85.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0823, 31.8337, -25.44195, 0.01478, 48.4, 0.9, 80.0, 138000000000000.0,  20032MASX.C.......:  
IC 0204, 31.86294, -1.43013, 0.039577, 21.8, 0.92, 110.0, 138000000000000.0,  20032MASX.C.......:  
IC 0205, 31.86433, -2.09125, 0.027766, 39.6, 0.7, 45.0, 138000000000000.0,  20032MASX.C.......:  
IC 0202, 31.8694, 9.16834, 0.030354, 54.0, 0.3, 135.0, 138000000000000.0,  20032MASX.C.......:  
IC 0203, 31.87353, 9.12269, 0.030691, 25.4, 0.62, 35.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0817, 31.89024, 17.20241, 0.015057, 44.8, 0.42, 30.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0816, 32.03697, 29.25586, 0.036955, 20.2, 0.88, 85.0, 138000000000000.0,  20032MASX.C.......:  
WISEA J020816.73+110124.0, 32.06967, 11.02342, -0.00017, -99.99, -99.99, -99.99, -99.99, -- 
2CXO J020820.6+105926, 32.08625, 10.99072, 0.005687, -99.99, -99.99, -99.99, -99.99, -- 
NGC 0821, 32.08813, 10.99497, 0.005787, 147.2, 0.62, 30.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0820, 32.10417, 14.34962, 0.014737, 7.91, 0.71, 68.0, 477000000000000.0,  2007SDSS6.C...0000:  
IC 0208, 32.11566, 6.39503, 0.011735, 60.8, 0.52, 145.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0825, 32.13477, 6.32363, 0.011328, 65.8, 0.38, 50.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0819, 32.14318, 29.23404, 0.021939, 41.2, 0.68, 175.0, 138000000000000.0,  20032MASX.C.......:  
WISEA J020834.68+110037.6, 32.14434, 11.01056, 0.0003, -99.99, -99.99, -99.99, -99.99, -- 
NGC 0829, 32.17657, -7.79054, 0.01359, 0.12, 1.0, 98.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 0818, 32.18561, 38.77711, 0.014156, 82.4, 0.52, 105.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0852, 32.23135, -56.73694, 0.021411, 42.8, 0.72, 130.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0827, 32.2345, 7.97158, 0.011555, 75.4, 0.4, 85.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0830, 32.2445, -7.76682, 0.012863, 6.03, 0.67, 71.0, 477000000000000.0,  2007SDSS6.C...0000:  
IC 0209, 32.24466, -7.05886, 0.013232, 49.8, 0.72, 75.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0833, 32.33685, -10.13308, 0.012857, -99.99, -99.99, -99.99, -99.99, -- 
NGC 0835, 32.35255, -10.13586, 0.012832, -99.99, -99.99, -99.99, -99.99, -- 
NGC 0826, 32.35436, 30.73974, 0.016228, 44.2, 0.82, 5.0, 138000000000000.0,  20032MASX.C.......:  
IC 0210, 32.36773, -9.68003, 0.006441, 129.4, 0.18, 65.0, 138000000000000.0,  20032MASX.C.......:  
IC 0206, 32.37798, -6.96855, 0.016158, 47.4, 0.32, 130.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0831, 32.39399, 6.0964, 0.02401, 30.8, 0.7, 115.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0838, 32.41053, -10.14669, 0.012839, -99.99, -99.99, -99.99, -99.99, -- 
IC 0207, 32.41391, -6.92228, 0.016251, 78.2, 0.24, 95.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0838 S, 32.42796, -10.18371, 0.012922, 58.4, 0.48, 75.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0842, 32.46163, -7.76247, 0.012902, 5.9, 0.62, 148.0, 477000000000000.0,  2007SDSS6.C...0000:  
IC 1783, 32.52553, -32.93972, 0.011168, 78.8, 0.44, 0.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0828, 32.53978, 39.19026, 0.018119, 73.2, 0.8, 135.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0849, 32.54671, -22.32297, 0.018433, 22.0, 0.78, 100.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0844, 32.55967, 6.04995, 0.01509, 21.8, 0.78, 45.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0840, 32.5676, 7.84541, 0.02425, 59.4, 0.5, 95.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0837, 32.56784, -22.43132, 0.018613, 44.0, 0.44, 15.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0848, 32.57312, -10.32103, 0.013306, 62.0, 0.42, 140.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0836, 32.60377, -22.05475, 0.014587, 38.6, 0.9, 90.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0814, 32.65684, -15.77343, 0.00539, 46.2, 0.4, 0.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0815 NED02, 32.66468, -15.81342, 0.0534, 14.6, 0.84, 45.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0834, 32.75549, 37.66626, 0.015321, 60.2, 0.48, 20.0, 138000000000000.0,  20032MASX.C.......:  
IC 0211, 32.78343, 3.85251, 0.010861, 35.8, 0.82, 100.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0851, 32.8004, 3.77967, 0.010377, 38.8, 0.62, 120.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0850, 32.80681, -1.48549, 0.027232, 56.0, 0.78, 105.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0841, 32.82235, 37.49715, 0.01516, 91.0, 0.48, 135.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0854, 32.87817, -35.83507, 0.020748, 59.8, 0.54, 0.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0853, 32.92161, -9.30599, 0.005014, 0.32, 0.69, 35.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 0845, 33.08227, 37.47729, 0.014787, 95.4, 0.18, 145.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0858, 33.12563, -22.47154, 0.041215, 42.8, 0.72, 125.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0857, 33.15394, -31.9446, 0.011695, 57.8, 0.86, 130.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0862, 33.26244, -42.03348, 0.017996, 48.6, 0.86, 70.0, 138000000000000.0,  20032MASX.C.......:  
IC 0212, 33.40942, 16.59396, 0.037006, 53.5, nan, nan, 681000000000000.0,  1991RC3.9.C...0000d  
NGC 0856, 33.40989, -0.71729, 0.020066, 9.1, 0.74, 16.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 0855, 33.51456, 27.87721, 0.001975, -99.99, -99.99, -99.99, -99.99, -- 
IC 0213, 33.51796, 16.45582, 0.027396, 80.2, 0.48, 135.0, 138000000000000.0,  20032MASX.C.......:  
IC 0214 NED01, 33.52321, 5.17331, 0.030224, 30.6, 0.5, 95.0, 138000000000000.0,  20032MASX.C.......:  
IC 0214, 33.52333, 5.17333, 0.030504, 49.9, 0.72, nan, 681000000000000.0,  1991RC3.9.C...0000d  
IC 0214 NED02, 33.52567, 5.1764, 0.030688, -99.99, -99.99, -99.99, -99.99, -- 
IC 0215, 33.53944, -6.80634, 0.007162, 51.6, 0.24, 80.0, 138000000000000.0,  20032MASX.C.......:  
ESO 415- G 010, 33.55345, -31.14992, 0.012305, 38.8, 0.34, 40.0, 138000000000000.0,  20032MASX.C.......:  
WISEA J021429.35-004604.5, 33.62233, -0.76794, 0.025563, 2.6, 0.96, 141.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 0863, 33.63985, -0.76672, 0.026385, 6.96, 0.96, 171.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 0860, 33.75062, 30.77882, 0.029434, 32.4, 0.84, 80.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0872, 33.85516, -17.78092, 0.014393, 62.8, 0.38, 0.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0864, 33.86516, 6.00249, 0.005094, 123.6, 0.94, 48.0, 138000000000000.0,  2003AJ....125..525J  
IC 1788, 33.9582, -31.20099, 0.011746, 101.6, 0.38, 25.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0861, 33.96307, 35.91364, 0.027346, 62.2, 0.3, 35.0, 138000000000000.0,  20032MASX.C.......:  
IC 0216, 33.98116, -2.01534, 0.009977, 20.2, 0.68, 40.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0868, 33.99373, -0.71359, 0.026766, 4.36, 0.91, 102.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 0874, 34.00492, -23.3017, 0.040351, 12.8, 1.0, 90.0, 138000000000000.0,  20032MASX.C.......:  
IC 1786, 34.02356, 5.14549, 0.030121, 28.0, 0.68, 165.0, 138000000000000.0,  20032MASX.C.......:  
IC 0217, 34.04353, -11.92638, 0.006304, 102.4, 0.18, 35.0, 138000000000000.0,  20032MASX.C.......:  
IC 1784, 34.05321, 32.64945, 0.016068, 68.6, 0.44, 95.0, 138000000000000.0,  20032MASX.C.......:  
WISEA J021613.74-305056.8, 34.05728, -30.84913, 0.011645, -99.99, -99.99, -99.99, -99.99, -- 
NGC 0865, 34.06305, 28.59978, 0.00999, 73.0, 0.28, 160.0, 138000000000000.0,  20032MASX.C.......:  
IC 1785, 34.08753, 32.66653, 0.015517, 37.2, 0.54, 120.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0864 COM01, 34.11049, 5.93452, 0.005344, 11.8, 0.8, 15.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0873, 34.1348, -11.34847, 0.013403, 59.4, 0.88, 125.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0879, 34.21333, -8.96399, 0.0132, 7.59, 0.95, 30.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 0867, 34.26991, 1.24421, 0.021408, 5.69, 0.96, 80.0, 477000000000000.0,  2007SDSS6.C...0000:  
IC 0218, 34.28027, 1.28231, 0.02163, 36.8, 0.44, 75.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0870, 34.28845, 14.52315, 0.056879, 21.8, 0.94, 105.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0871, 34.29462, 14.54824, 0.012475, 61.2, 0.38, 5.0, 138000000000000.0,  20032MASX.C.......:  
UGC 01761, 34.35914, 14.58031, 0.013349, 65.8, 1.0, nan, 681000000000000.0,  1991RC3.9.C...0000d  
NGC 0888, 34.36292, -59.86102, 0.02919, 52.0, 0.8, 60.0, 138000000000000.0,  20032MASX.C.......:  
IC 1790, 34.40769, 12.50911, 0.012055, 34.8, 0.48, 55.0, 138000000000000.0,  20032MASX.C.......:  
IC 1791, 34.42221, 12.47067, 0.012172, 52.0, 0.92, 90.0, 138000000000000.0,  20032MASX.C.......:  
IC 1789, 34.46328, 32.39613, 0.015978, 70.0, 0.34, 30.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0876, 34.47181, 14.52176, 0.012989, 56.8, 0.3, 25.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0878, 34.47609, -23.38404, 0.037796, 36.2, 0.58, 115.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0877, 34.49878, 14.54399, 0.013062, 118.0, 0.64, 140.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0880, 34.61325, -4.20574, 0.041522, 22.2, 0.78, 20.0, 138000000000000.0,  20032MASX.C.......:  
IC 0219, 34.66173, -6.90332, 0.016838, 53.2, 0.66, 0.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0881, 34.68849, -6.63903, 0.017525, 81.2, 0.78, 130.0, 138000000000000.0,  20032MASX.C.......:  
IC 1792, 34.75453, 34.46237, 0.034974, -99.99, -99.99, -99.99, -99.99, -- 
NGC 0883, 34.77167, -6.79098, 0.017805, 80.4, 0.98, 45.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0889, 34.77897, -41.74938, 0.017309, 41.8, 0.88, 100.0, 138000000000000.0,  20032MASX.C.......:  
IC 0220, 34.79893, -12.78166, 0.019567, 48.2, 0.32, 25.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0887, 34.88592, -16.06968, 0.014383, 55.4, 0.66, 85.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0882, 34.91628, 15.81429, 0.013229, 45.2, 0.68, 75.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0893, 34.99406, -41.40321, 0.020247, 62.0, 0.74, 135.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0892, 35.21674, -23.11358, 0.033196, 29.4, 0.54, 5.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0897, 35.27653, -33.72045, 0.015671, 96.0, 0.76, 20.0, 138000000000000.0,  20032MASX.C.......:  
IC 1794, 35.37582, 15.76167, 0.013313, 33.2, 0.92, 175.0, 138000000000000.0,  20032MASX.C.......:  
IC 1793, 35.38506, 32.54461, 0.017726, 66.2, 0.4, 35.0, 138000000000000.0,  20032MASX.C.......:  
WISEA J022135.21+332235.9, 35.39673, 33.37664, 0.014227, -99.99, -99.99, -99.99, -99.99, -- 
NGC 0895, 35.40194, -5.5213, 0.007632, 102.0, 0.66, 120.0, 138000000000000.0,  20032MASX.C.......:  
ESO 355- G 010, 35.40279, -33.80933, 0.016104, 30.6, 0.52, 90.0, 138000000000000.0,  20032MASX.C.......:  
ESO 355- G 011, 35.41773, -33.88064, 0.015484, 50.6, 0.22, 175.0, 138000000000000.0,  20032MASX.C.......:  
