

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is funded by the National Aeronautics and Space Administration.
and operated by the California Institute of Technology.


queryDateTime:2025-01-24T13:46:59PST



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
1407|WISEA J020154.89-055952.3| 30.47874 |  -5.99787 |G|  5466| 0.018233 |SLS |16.25|  0.000|7|0|33|6|4|2|0
1408|IC 0190| 30.53040 |  23.54987 |G|  4769| 0.015908 |SUN |15.1 |  0.000|22|0|33|8|6|3|0
1409|WISEA J020210.17-063839.0| 30.54248 |  -6.64449 |G| 12676| 0.042283 |SLS |16.52|  0.000|9|0|35|7|4|2|0
1410|WISEA J020211.17-060549.8| 30.54654 |  -6.09718 |G| 26129| 0.087157 |SUN |17.06|  0.000|5|0|32|6|3|2|0
1411|NGC 0800| 30.54935 |  -0.13038 |G|  5927| 0.019770 |S1L |14.4g|  0.000|66|1|93|23|18|16|0
1412|NGC 0799| 30.55139 |  -0.10065 |G|  5923| 0.019757 |S1L |13.8g|  0.000|131|1|91|28|29|16|0
1413|MCG -01-06-031| 30.55514 |  -6.07833 |G|  4998| 0.016672 |SLS |15   |  0.000|23|1|41|11|7|7|0
1414|IC 1770| 30.55992 |   9.98092 |G|  4583| 0.015287 |SUN |14.81|  0.000|26|1|34|11|8|7|0
1415|NGC 0792| 30.56388 |  15.71215 |G|  4648| 0.015504 |SUN |14.12|  0.000|34|1|39|13|7|7|0
1416|IC 1771| 30.56605 |   9.96857 |G|  4793| 0.015988 |SUN |15.16|  0.000|22|0|33|10|8|5|0
1417|UGC 01519| 30.57000 |  19.17972 |G|  2349| 0.007835 |SUN |17.  |  0.000|25|1|12|9|8|4|0
1418|WISEA J020218.43-061211.7| 30.57680 |  -6.20326 |G| 15720| 0.052436 |SLS |15.81|  0.000|8|0|32|6|4|2|0
1419|NGC 0789| 30.60855 |  32.07228 |G|  5267| 0.017569 |SUN |14.40|  0.000|55|1|47|19|14|6|0
1420|NGC 0794| 30.62222 |  18.37303 |G|  8225| 0.027436 |SUN |13.81|  0.000|42|2|48|13|9|7|0
1421|IC 0193| 30.62914 |  11.09305 |G|  4649| 0.015506 |UUN |14.14|  0.000|65|1|45|17|13|7|0
1422|IC 0192| 30.63494 |  16.01423 |G|  3893| 0.012986 |S1L |14.52|  0.000|31|0|41|13|11|7|0
1423|IC 1772| 30.67826 |   7.74592 |G|  7784| 0.025965 |SUN |15   |  0.000|5|0|23|6|1|2|0
1424|IC 0194| 30.77177 |   2.61420 |G|  6387| 0.021305 |S1L |15.21|  0.000|38|0|40|17|11|7|0
1425|NGC 0798| 30.83172 |  32.07751 |G|  5089| 0.016975 |SUN |14.50|  0.000|26|0|33|10|6|6|0
1426|NGC 0797 NED01| 30.85239 |  38.11218 |G|  5662| 0.018886 |SUN |16.9 |  0.000|7|0|27|5|1|2|0
1427|NGC 0797 NED02| 30.86651 |  38.11690 |G|  5654| 0.018860 |SUN |13.1 |  0.000|45|1|43|14|12|6|0
1428|NGC 0806| 30.87967 |  -9.93333 |G|  3944| 0.013156 |SUN |14.50|  0.000|37|1|37|11|6|9|0
1429|IC 0195| 30.93589 |  14.70928 |G|  3648| 0.012167 |SLS |14.0g|  0.000|84|2|82|20|20|15|0
1430|NGC 0803| 30.93641 |  16.03116 |G|  2101| 0.007008 |SUN |13.24|  0.000|107|2|81|26|20|8|0
1431|NGC 0801| 30.93665 |  38.25879 |G|  5767| 0.019237 |S1L |13.96|  0.000|187|1|74|21|20|8|0
1432|IC 0196| 30.95750 |  14.73914 |G|  3625| 0.012093 |SLS |13.6g|  0.000|95|2|100|26|23|15|0
1433|NGC 0808| 30.98587 | -23.31165 |G|  4964| 0.016558 |SUN |13.87|  0.000|57|2|49|17|9|19|0
1434|IC 1774| 30.99581 |  15.31802 |G|  3628| 0.012102 |S1L |14.5 |  0.000|40|1|25|12|9|7|0
1435|NGC 0804| 31.00880 |  30.83293 |G|  5269| 0.017575 |SUN |14.67|  0.000|25|1|34|11|6|7|0
1436|IC 0197| 31.02066 |   2.78682 |G|  6316| 0.021068 |S1L |14.29|  0.000|51|1|52|22|16|7|0
1437|NGC 0809| 31.07908 |  -8.73530 |G|  5340| 0.017812 |SLS |14.1g|  0.000|83|1|77|21|26|14|0
1438|NGC 0805| 31.12329 |  28.81232 |G|  4546| 0.015164 |SUN |14.49|  0.000|27|0|29|10|6|7|0
1439|NGC 0811| 31.14540 | -10.10838 |G|  1923| 0.006414 |S1L |15.1g|  0.000|37|2|55|16|15|10|0
1440|NGC 0807| 31.23188 |  28.98751 |G|  4764| 0.015891 |SUN |13.47|  0.000|71|1|56|22|17|7|0
1441|IC 1776| 31.31342 |   6.10683 |G|  3411| 0.011378 |S1L |13.81|  0.000|48|1|22|12|16|7|0
1442|IC 1775| 31.32299 |  13.50572 |G|  7743| 0.025827 |SLS |15.5g|  0.000|28|0|71|19|14|10|0
1443|IC 0200| 31.36111 |  31.17532 |G|  5271| 0.017582 |SUN |13.65|  0.000|91|1|57|17|21|9|0
1444|NGC 0810 NED01| 31.36871 |  13.25112 |G|  7770| 0.025917 |SLS |9.53K|  0.000|24|0|31|14|14|10|0
1445|NGC 0810| 31.37042 |  13.25139 |GPair|  7665| 0.025568 |SUN |15.4 |  0.000|34|1|7|8|7|0|0
1446|NGC 0810 NED02| 31.37200 |  13.25105 |G|  7403| 0.024694 |SLS |15.9g|  0.000|14|0|42|5|5|8|0
1447|IC 0198| 31.51307 |   9.29554 |G|  9243| 0.030831 |S1L |14.58|  0.000|49|1|49|18|15|7|0
1448|IC 1777| 31.53635 |  15.20951 |G| 12748| 0.042523 |SUN |15.7 |  0.000|18|0|36|8|4|4|0
1449|IC 0199| 31.58087 |   9.22744 |G|  9219| 0.030751 |S1L |14.90|  0.000|33|1|36|15|11|7|0
1450|IC 1779| 31.60821 |   3.70596 |G|  9570| 0.031922 |SUN |15.1 |  0.000|15|0|34|10|7|2|0
1451|NGC 0822| 31.66312 | -41.15672 |G|  5430| 0.018112 |UUN |14.11|  0.000|40|2|47|9|9|19|0
1452|IC 1780| 31.71314 |  14.72202 |G| 10375| 0.034607 |SUN |15.5 |  0.000|17|0|56|10|6|8|0
1453|IC 1781| 31.71993 |  -0.51796 |G| 12999| 0.043359 |SUN |15.2B|  0.000|30|0|75|20|17|10|0
1454|NGC 0824| 31.72190 | -36.45311 |G|  5810| 0.019380 |UUN |14.11|  0.000|35|3|50|11|9|19|1
1455|IC 0201| 31.81383 |   9.11509 |G| 10373| 0.034600 |PUN |16.77|  0.000|3|0|31|5|1|2|0
1456|NGC 0823| 31.83370 | -25.44195 |G|  4431| 0.014780 |SUN |13.75|  0.000|33|2|47|17|11|18|0
1457|IC 0204| 31.86294 |  -1.43013 |G| 11865| 0.039577 |SLS |15.7 |  0.000|9|0|37|8|3|2|0
1458|IC 0205| 31.86433 |  -2.09125 |G|  8324| 0.027766 |S1L |14.49|  0.000|30|0|46|14|10|7|0
1459|IC 0202| 31.86940 |   9.16834 |G|  9100| 0.030354 |S1L |15.14|  0.000|39|1|54|19|11|6|0
1460|IC 0203| 31.87353 |   9.12269 |G|  9201| 0.030691 |PUN |16.90|  0.000|3|0|28|4|1|2|0
1461|NGC 0817| 31.89024 |  17.20241 |G|  4514| 0.015057 |S1L |14.20|  0.000|39|1|48|16|13|6|0
1462|NGC 0816| 32.03697 |  29.25586 |G| 11079| 0.036955 |S1L |15.3 |  0.000|16|0|39|14|9|2|0
1463|WISEA J020816.73+110124.0| 32.06967 |  11.02342 |G|   -51|-0.000170 |SLS |17.9V|  0.000|2|0|27|5|1|0|0
1464|2CXO J020820.6+105926| 32.08625 |  10.99072 |XrayS|  1705| 0.005687 |SLS |     |  0.000|4|0|15|5|1|0|0
1465|NGC 0821| 32.08813 |  10.99497 |G|  1735| 0.005787 |SUN |11.67|  0.000|496|10|100|31|29|7|0
1466|NGC 0820| 32.10417 |  14.34962 |G|  4418| 0.014737 |S1L |13.6g|  0.000|101|0|98|32|27|15|0
1467|IC 0208| 32.11566 |   6.39503 |G|  3518| 0.011735 |UUN |14.2B|  0.000|83|1|40|30|27|7|0
1468|NGC 0825| 32.13477 |   6.32363 |G|  3396| 0.011328 |S1L |14.06|  0.000|68|2|44|22|22|7|0
1469|NGC 0819| 32.14318 |  29.23404 |G|  6577| 0.021939 |S1L |14.40|  0.000|57|1|47|20|19|5|0
1470|WISEA J020834.68+110037.6| 32.14434 |  11.01056 |G|    90| 0.000300 |SLS |18.9V|  0.000|2|0|14|3|1|0|0
1471|NGC 0829| 32.17657 |  -7.79054 |G|  4074| 0.013590 |SLS |18.4g|  0.000|47|3|71|21|14|13|0
1472|NGC 0818| 32.18561 |  38.77711 |G|  4244| 0.014156 |SUN |13.20|  0.000|99|2|60|24|20|8|0
1473|NGC 0852| 32.23135 | -56.73694 |G|  6419| 0.021411 |S1L |14.15|  0.000|30|2|51|12|8|17|0
1474|NGC 0827| 32.23450 |   7.97158 |G|  3464| 0.011555 |S1L |13.70|  0.000|62|0|45|20|19|7|0
1475|NGC 0830| 32.24450 |  -7.76682 |G|  3856| 0.012863 |SLS |13.6g|  0.000|54|0|80|18|16|13|0
1476|IC 0209| 32.24466 |  -7.05886 |G|  3967| 0.013232 |SUN |14.11|  0.000|33|1|42|14|6|6|0
1477|NGC 0833| 32.33685 | -10.13308 |G|  3854| 0.012857 |SUN |13.5g|  0.000|174|5|158|42|42|17|0
1478|NGC 0835| 32.35255 | -10.13586 |G|  3847| 0.012832 |S1L |13.14|  0.000|215|8|174|54|38|13|0
1479|NGC 0826| 32.35436 |  30.73974 |G|  4865| 0.016228 |SUN |15.4 |  0.000|23|0|32|13|11|2|0
1480|IC 0210| 32.36773 |  -9.68003 |G|  1931| 0.006441 |S1L |14.00|  0.000|82|1|39|23|20|5|0
1481|IC 0206| 32.37798 |  -6.96855 |G|  4844| 0.016158 |SUN |15.17|  0.000|15|2|34|9|4|3|0
1482|NGC 0831| 32.39399 |   6.09640 |G|  7198| 0.024010 |S1L |15.2 |  0.000|22|0|41|14|10|2|0
1483|NGC 0838| 32.41053 | -10.14669 |G|  3849| 0.012839 |UUN |13.5B|  0.000|220|7|185|53|37|19|0
1484|IC 0207| 32.41391 |  -6.92228 |G|  4872| 0.016251 |SUN |14.5 |  0.000|30|1|33|11|8|5|0
1485|NGC 0838 S| 32.42796 | -10.18371 |G|  3874| 0.012922 |UUN |14.20|  0.000|156|3|110|33|20|7|0
1486|NGC 0842| 32.46163 |  -7.76247 |G|  3868| 0.012902 |SLS |14.13|  0.000|52|2|68|19|18|10|0
1487|IC 1783| 32.52553 | -32.93972 |G|  3348| 0.011168 |SUN |13.12|  0.000|69|3|66|20|20|20|0
1488|NGC 0828| 32.53978 |  39.19026 |G|  5432| 0.018119 |UUN |13.15|  0.000|192|12|105|45|30|8|0
1489|NGC 0849| 32.54671 | -22.32297 |G|  5526| 0.018433 |SUN |15.28|  0.000|19|2|39|11|5|15|0
1490|NGC 0844| 32.55967 |   6.04995 |G|  4524| 0.015090 |SUN |15.0 |  0.000|14|0|42|12|6|2|0
1491|NGC 0840| 32.56760 |   7.84541 |G|  7270| 0.024250 |S1L |14.27|  0.000|57|1|52|18|14|8|0
1492|NGC 0837| 32.56784 | -22.43132 |G|  5580| 0.018613 |SUN |14.60|  0.000|31|2|41|14|9|18|0
1493|NGC 0848| 32.57312 | -10.32103 |G|  3989| 0.013306 |SUN |13.95|  0.000|73|4|28|18|17|6|0
1494|NGC 0836| 32.60377 | -22.05475 |G|  4373| 0.014587 |SUN |14.43|  0.000|27|2|35|13|7|19|0
1495|NGC 0814| 32.65684 | -15.77343 |G|  1616| 0.005390 |SUN |14.83|  0.000|53|0|61|22|10|5|0
1496|NGC 0815 NED02| 32.66468 | -15.81342 |G| 16009| 0.053400 |SUN |     |  0.000|2|0|23|5|2|2|1
1497|NGC 0834| 32.75549 |  37.66626 |G|  4593| 0.015321 |SUN |13.84|  0.000|98|5|64|24|17|7|0
1498|IC 0211| 32.78343 |   3.85251 |G|  3256| 0.010861 |S1L |13.90|  0.000|70|3|46|21|21|8|0
1499|NGC 0851| 32.80040 |   3.77967 |G|  3111| 0.010377 |SUN |14.49|  0.000|53|2|44|20|16|7|0
1500|NGC 0850| 32.80681 |  -1.48549 |G|  8164| 0.027232 |SUN |13.86|  0.000|31|0|43|17|10|7|0
1501|NGC 0841| 32.82235 |  37.49715 |G|  4545| 0.015160 |S1L |13.42|  0.000|97|4|59|25|20|8|0
1502|NGC 0854| 32.87817 | -35.83507 |G|  6220| 0.020748 |SUN |13.54|  0.000|50|1|46|15|15|19|1
1503|NGC 0853| 32.92161 |  -9.30599 |G|  1503| 0.005014 |SLS |13.2R|  0.000|62|2|59|23|17|14|0
1504|NGC 0845| 33.08227 |  37.47729 |G|  4433| 0.014787 |S1L |14.34|  0.000|56|1|47|18|12|7|0
1505|NGC 0858| 33.12563 | -22.47154 |G| 12356| 0.041215 |SUN |14.13|  0.000|40|3|56|17|12|18|0
1506|NGC 0857| 33.15394 | -31.94460 |G|  3506| 0.011695 |SUN |13.64|  0.000|32|2|48|15|12|19|0
1507|NGC 0862| 33.26244 | -42.03348 |G|  5395| 0.017996 |UUN |14.0b|  0.000|35|1|49|10|8|20|0
1508|IC 0212| 33.40942 |  16.59396 |G| 11094| 0.037006 |S1L |15.23|  0.000|20|0|36|12|7|2|1
1509|NGC 0856| 33.40989 |  -0.71729 |G|  6016| 0.020066 |SLS |13.8g|  0.000|89|1|97|31|28|15|1
1510|NGC 0855| 33.51456 |  27.87721 |G|   592| 0.001975 |UUN |13.30|  0.000|230|6|210|61|32|10|0
1511|IC 0213| 33.51796 |  16.45582 |G|  8213| 0.027396 |SUN |14.6 |  0.000|52|0|39|15|14|9|0
1512|IC 0214 NED01| 33.52321 |   5.17331 |G|  9061| 0.030224 |SUN |15.4 |  0.000|7|0|10|4|4|2|0
1513|IC 0214| 33.52333 |   5.17333 |G|  9145| 0.030504 |S1L |14.7 |  0.000|164|1|67|29|23|5|0
1514|IC 0214 NED02| 33.52567 |   5.17640 |G|  9200| 0.030688 |SUN |15.5 |  0.000|1|0|0|1|1|0|0
1515|IC 0215| 33.53944 |  -6.80634 |G|  2147| 0.007162 |SLS |14.8b|  0.000|23|1|41|13|8|3|0
1516|ESO 415- G 010| 33.55345 | -31.14992 |G|  3689| 0.012305 |SUN |14.80|  0.000|30|1|37|9|9|18|0
1517|WISEA J021429.35-004604.5| 33.62233 |  -0.76794 |G|  7664| 0.025563 |SLS |17.3g|  0.000|19|0|53|11|6|8|0
1518|NGC 0863| 33.63985 |  -0.76672 |G|  7910| 0.026385 |SUN |13.2r|  0.000|631|9|198|73|96|11|0
1519|NGC 0860| 33.75062 |  30.77882 |G|  8824| 0.029434 |SLS |15.1 |  0.000|17|0|33|10|9|2|0
1520|NGC 0872| 33.85516 | -17.78092 |G|  4315| 0.014393 |S1L |14.51|  0.000|47|1|46|15|13|18|0
1521|NGC 0864| 33.86516 |   6.00249 |G|  1527| 0.005094 |UUN |11.4 |  0.000|248|12|65|30|30|8|0
1522|IC 1788| 33.95820 | -31.20099 |G|  3521| 0.011746 |S1L |12.34|  0.000|70|3|58|15|17|20|0
1523|NGC 0861| 33.96307 |  35.91364 |G|  8198| 0.027346 |S1L |14.63|  0.000|42|1|48|18|10|7|0
1524|IC 0216| 33.98116 |  -2.01534 |G|  2991| 0.009977 |SLS |15.7 |  0.000|9|0|33|9|4|2|0
1525|NGC 0868| 33.99373 |  -0.71359 |G|  8024| 0.026766 |SLS |15.0g|  0.000|35|0|65|14|12|13|0
1526|NGC 0874| 34.00492 | -23.30170 |G| 12097| 0.040351 |SUN |14.96|  0.000|14|2|40|10|1|19|1
1527|IC 1786| 34.02356 |   5.14549 |G|  9030| 0.030121 |S1L |15.5 |  0.000|13|0|40|11|6|2|0
1528|IC 0217| 34.04353 | -11.92638 |G|  1890| 0.006304 |SUN |14.99|  0.000|71|0|43|23|17|5|0
1529|IC 1784| 34.05321 |  32.64945 |G|  4817| 0.016068 |S1L |14.00|  0.000|64|4|49|21|15|6|0
1530|WISEA J021613.74-305056.8| 34.05728 | -30.84913 |G|  3491| 0.011645 |SUN |17.10|  0.000|5|0|18|5|2|0|0
1531|NGC 0865| 34.06305 |  28.59978 |G|  2995| 0.009990 |S1L |14.09|  0.000|73|1|49|23|19|6|0
1532|IC 1785| 34.08753 |  32.66653 |G|  4652| 0.015517 |SUN |15.6 |  0.000|21|2|28|8|5|4|0
1533|NGC 0864 COM01| 34.11049 |   5.93452 |G|  1602| 0.005344 |SUN |16.38|  0.000|7|0|36|7|2|2|0
1534|NGC 0873| 34.13480 | -11.34847 |G|  4018| 0.013403 |S1L |12.83|  0.000|80|1|60|20|15|5|0
1535|NGC 0879| 34.21333 |  -8.96399 |G|  3957| 0.013200 |SLS |15.2g|  0.000|22|0|57|7|7|10|0
1536|NGC 0867| 34.26991 |   1.24421 |G|  6418| 0.021408 |SLS |13.7g|  0.000|66|3|100|33|27|15|0
1537|IC 0218| 34.28027 |   1.28231 |G|  6485| 0.021630 |SUN |15.7 |  0.000|20|2|44|12|6|3|0
1538|NGC 0870| 34.28845 |  14.52315 |G| 17052| 0.056879 |UUN |16   |  0.000|8|0|35|8|2|3|0
1539|NGC 0871| 34.29462 |  14.54824 |G|  3740| 0.012475 |S1L |14.2 |  0.000|94|3|72|26|18|6|0
1540|UGC 01761| 34.35914 |  14.58031 |G|  4002| 0.013349 |S1L |16.5 |  0.000|34|1|31|11|6|4|0
1541|NGC 0888| 34.36292 | -59.86102 |G|  8751| 0.029190 |SUN |14.43|  0.000|32|2|44|17|9|17|1
1542|IC 1790| 34.40769 |  12.50911 |G|  3614| 0.012055 |S1L |15.50|  0.000|22|1|38|9|5|7|0
1543|IC 1791| 34.42221 |  12.47067 |G|  3649| 0.012172 |UUN |14.27|  0.000|27|1|42|13|8|6|0
1544|IC 1789| 34.46328 |  32.39613 |G|  4790| 0.015978 |S1L |14.63|  0.000|51|0|53|19|9|7|0
1545|NGC 0876| 34.47181 |  14.52176 |G|  3894| 0.012989 |S1L |16.5 |  0.000|76|3|75|27|13|7|0
1546|NGC 0878| 34.47609 | -23.38404 |G| 11331| 0.037796 |SLS |14.38|  0.000|26|1|43|13|7|18|0
1547|NGC 0877| 34.49878 |  14.54399 |G|  3916| 0.013062 |SUN |12.58|  0.000|209|6|139|44|25|8|0
1548|NGC 0880| 34.61325 |  -4.20574 |G| 12448| 0.041522 |SLS |15.60|  0.000|20|0|48|15|5|2|0
1549|IC 0219| 34.66173 |  -6.90332 |G|  5048| 0.016838 |SUN |14.44|  0.000|39|1|33|18|12|5|0
1550|NGC 0881| 34.68849 |  -6.63903 |G|  5254| 0.017525 |S1L |13.39|  0.000|61|2|58|23|14|7|0
1551|IC 1792| 34.75453 |  34.46237 |G| 10485| 0.034974 |SUN |15.0 |  0.000|23|1|51|12|9|9|0
1552|NGC 0883| 34.77167 |  -6.79098 |G|  5338| 0.017805 |SLS |13.50|  0.000|50|1|41|20|12|5|0
1553|NGC 0889| 34.77897 | -41.74938 |G|  5189| 0.017309 |SUN |15.30|  0.000|25|1|40|11|8|19|0
1554|IC 0220| 34.79893 | -12.78166 |G|  5866| 0.019567 |S1L |15.08|  0.000|23|0|37|9|7|4|0
1555|NGC 0887| 34.88592 | -16.06968 |G|  4312| 0.014383 |S1L |13.50|  0.000|43|0|42|15|15|6|0
1556|NGC 0882| 34.91628 |  15.81429 |G|  3966| 0.013229 |SUN |14.58|  0.000|27|0|38|11|7|7|0
1557|NGC 0893| 34.99406 | -41.40321 |G|  6070| 0.020247 |SUN |13.55|  0.000|49|2|49|17|12|19|0
1558|NGC 0892| 35.21674 | -23.11358 |G|  9952| 0.033196 |S1L |15.02|  0.000|15|1|39|10|5|15|0
1559|NGC 0897| 35.27653 | -33.72045 |G|  4698| 0.015671 |SST |12.83|  0.000|38|1|41|12|13|19|0
1560|IC 1794| 35.37582 |  15.76167 |G|  3991| 0.013313 |S1L |14.66|  0.000|31|0|45|16|13|6|0
1561|IC 1793| 35.38506 |  32.54461 |G|  5314| 0.017726 |S1L |14.74|  0.000|45|0|53|20|13|7|0
1562|WISEA J022135.21+332235.9| 35.39673 |  33.37664 |G|  4265| 0.014227 |SUN |19.5R|  0.000|3|0|14|3|1|0|0
1563|NGC 0895| 35.40194 |  -5.52130 |G|  2288| 0.007632 |SUN |11.8B|  0.000|183|7|80|35|27|7|0
1564|ESO 355- G 010| 35.40279 | -33.80933 |G|  4828| 0.016104 |SUN |15.14|  0.000|15|1|43|11|6|17|0
1565|ESO 355- G 011| 35.41773 | -33.88064 |G|  4642| 0.015484 |SUN |15.25|  0.000|21|0|41|12|7|15|0
1566|NGC 0895a| 35.43798 |  -5.53540 |G|  2392| 0.007980 |SLS |17.3 |  0.000|20|0|26|14|7|0|0
1567|NGC 0899| 35.47138 | -20.82377 |G|  1563| 0.005214 |SUN |12.90|  0.000|61|4|50|18|10|19|0
1568|NGC 0890| 35.50421 |  33.26605 |G|  3946| 0.013164 |SLS |12.2 |  0.000|128|4|54|21|16|7|0
1569|IC 0223| 35.50459 | -20.74588 |G|  1579| 0.005267 |SUN |14.13|  0.000|40|3|37|16|5|17|1
1570|NGC 0902| 35.59068 | -16.67910 |G|  6755| 0.022532 |SUN |14.97|  0.000|14|1|36|7|6|3|0
1571|NGC 0897:[ZSF97] c| 35.65568 | -33.66542 |G|  5089| 0.016975 |SUN |     |  0.000|1|0|0|1|1|0|1
1572|IC 0221| 35.67042 |  28.25692 |G|  5087| 0.016968 |S1L |13.70|  0.000|71|1|50|21|17|7|0
1573|NGC 0905| 35.68160 |  -8.71896 |G| 13620| 0.045432 |SLS |15.4g|  0.000|32|0|71|16|11|10|0
1574|IC 1796| 35.69724 | -41.37105 |G|  5072| 0.016918 |SUN |13.02|  0.000|33|1|49|12|9|20|0
1575|IC 0222| 35.69942 |  11.63824 |G| 13181| 0.043967 |S1L |15.2 |  0.000|21|0|40|13|10|4|0
1576|NGC 0907| 35.75803 | -20.71193 |G|  1668| 0.005564 |S1L |12.90|  0.000|76|4|41|21|14|17|0
1577|NGC 0908| 35.76893 | -21.23378 |G|  1505| 0.005019 |SUN |10.83|  0.000|231|8|98|28|25|20|0
1578|NGC 0900| 35.88408 |  26.51155 |G|  9728| 0.032449 |SUN |14.73|  0.000|28|1|38|13|8|7|0
1579|NGC 0901| 35.89210 |  26.55708 |G|  9774| 0.032603 |SUN | 1.34|  0.000|11|0|32|7|6|2|0
1580|NGC 0903| 36.00372 |  27.35645 |G|  5042| 0.016818 |SUN |16.71|  0.000|7|0|31|6|3|2|0
1581|NGC 0904| 36.02327 |  27.34256 |G|  5406| 0.018032 |SUN |14.56|  0.000|25|1|33|11|5|7|0
1582|WISEA J022429.92-244445.6| 36.12470 | -24.74603 |G|  3159| 0.010537 |SLS |14.8I|  0.000|14|0|38|9|4|2|0
1583|IC 0224| 36.18811 | -12.56445 |G|  4178| 0.013936 |SUN |15.08|  0.000|20|1|29|6|6|3|0
1584|UGC 01865| 36.25132 |  36.03874 |G|   580| 0.001935 |SUN |16.5 |  0.000|56|2|27|14|5|4|0
1585|NGC 0922| 36.26860 | -24.78800 |G|  3082| 0.010282 |S1L |12.1B|  0.000|155|7|99|26|21|19|1
1586|IC 1797| 36.36618 |  20.39538 |G|  4116| 0.013729 |S1L |15.32|  0.000|40|2|53|16|12|6|0
1587|NGC 0915| 36.43993 |  27.22113 |G|  4399| 0.014673 |SUN |15.0 |  0.000|17|0|33|8|6|4|0
1588|NGC 0916| 36.44852 |  27.24265 |G|  9614| 0.032069 |SUN |14.9 |  0.000|21|0|34|9|5|4|0
1589|NGC 0918| 36.46152 |  18.49639 |G|  1510| 0.005037 |MUN |13.05|  0.000|172|3|89|30|26|8|0
1590|NGC 0926| 36.52798 |  -0.33185 |G|  6389| 0.021311 |SLS |13.8g|  0.000|85|1|108|37|31|15|0
1591|NGC 0917| 36.53207 |  31.91237 |G|  5403| 0.018022 |S1L |14.20|  0.000|51|1|44|18|14|7|0
1592|IC 1798| 36.56450 |  13.43096 |G| 12336| 0.041147 |PUN |     |  0.000|2|0|28|5|1|2|0
1593|NGC 0919| 36.56936 |  27.21220 |G| 10357| 0.034547 |S1L |15.39|  0.000|37|1|42|14|9|7|0
1594|NGC 0939| 36.58880 | -44.44615 |G|  5160| 0.017212 |SLS |14.03|  0.000|20|1|41|11|5|19|0
1595|IC 0225| 36.61791 |   1.16047 |G|  1541| 0.005140 |SLS |14.6g|  0.000|75|1|67|41|29|10|0
1596|NGC 0921| 36.63919 | -15.84749 |G|  6886| 0.022969 |S1L |15.41|  0.000|30|0|36|11|8|6|0
1597|NGC 0927| 36.65533 |  12.15531 |G|  8258| 0.027545 |UUN |14.13|  0.000|71|1|58|21|14|7|0
1598|NGC 0944| 36.67299 | -14.51598 |G|  3766| 0.012562 |SUN |15.0b|  0.000|30|1|36|13|9|5|0
1599|NGC 0924| 36.69513 |  20.49755 |G|  4461| 0.014880 |SUN |13.37|  0.000|70|1|59|33|26|6|0
1600|NGC 0925| 36.82016 |  33.57912 |G|   553| 0.001845 |S1L |10.69|  0.000|754|15|168|79|41|8|0
1601|NGC 0929| 36.82604 | -12.08676 |G|  4802| 0.016018 |S1L |15.07|  0.000|21|1|34|9|6|6|0
1602|WISEA J022732.86-011349.0| 36.88701 |  -1.23036 |*|  1175| 0.003919 |SLS |20.3g|  0.000|4|0|21|7|2|4|0
1603|NGC 0934| 36.88721 |  -0.24453 |G|  6308| 0.021040 |SLS |14.3g|  0.000|63|1|103|28|22|16|0
1604|NGC 0936| 36.90599 |  -1.15597 |G|  1434| 0.004783 |S1L |11.12|  0.000|359|10|121|34|32|12|0
1605|NGC 0928| 36.92092 |  27.22120 |G|  5126| 0.017098 |UUN |14.87|  0.000|33|1|42|13|11|6|0
1606|IC 0226| 36.94104 |  28.20919 |G| 10905| 0.036375 |S1L |16.0 |  0.000|47|3|27|14|11|7|0
1607|NGC 0932| 36.97793 |  20.33255 |G|  4079| 0.013606 |S1L |13.34|  0.000|74|1|38|21|20|7|0
1608|IC 0227| 37.01504 |  28.17529 |G| 10131| 0.033794 |SLS |15.5 |  0.000|32|1|57|18|9|7|0
1609|NGC 0935| 37.04685 |  19.59904 |G|  4172| 0.013916 |S1L |12.5B|  0.000|117|4|58|20|18|7|0
1610|IC 1801| 37.05273 |  19.58300 |G|  4013| 0.013386 |SUN |14.56|  0.000|62|3|43|13|11|7|0
1611|NGC 0931| 37.06030 |  31.31154 |G|  4989| 0.016642 |S1L |14.46|  0.000|422|10|237|59|68|9|0
1612|NGC 0941| 37.11616 |  -1.15147 |G|  1604| 0.005350 |S1L |13.4g|  0.000|169|6|89|39|30|12|0
1613|NGC 0947| 37.13813 | -19.04204 |G|  4952| 0.016518 |S1L |13.18|  0.000|61|4|57|18|19|20|0
1614|NGC 0938| 37.13968 |  20.28371 |G|  4118| 0.013736 |SUN |13.43|  0.000|60|1|39|20|18|6|0
1615|NGC 0945| 37.15543 | -10.53902 |G|  4486| 0.014964 |S1L |12.5B|  0.000|81|3|42|14|11|7|1
1616|NGC 0948| 37.18948 | -10.51384 |G|  4487| 0.014967 |S1L |14.34|  0.000|33|4|35|11|9|6|0
1617|IC 0230| 37.19700 | -10.83129 |G|  4955| 0.016528 |SLS |15.5 |  0.000|10|0|32|7|3|3|0
1618|NGC 0954| 37.21503 | -41.40267 |G|  5347| 0.017836 |SUN |13.5 |  0.000|44|1|48|13|10|20|0
