

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is funded by the National Aeronautics and Space Administration.
and operated by the California Institute of Technology.


queryDateTime:2025-01-24T13:46:59PST



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
48|NGC 7838|  1.72472 |   8.35091 |G| 11525| 0.038443 |S1L |16   |  0.000|19|0|35|9|9|4|0
49|NGC 7840|  1.78659 |   8.38343 |G| 11266| 0.037579 |SUN |     |  0.000|4|0|28|6|2|2|0
50|NGC 0001|  1.81611 |  27.70803 |G|  4550| 0.015177 |UUN |13.65|  0.000|130|3|63|25|29|8|0
51|NGC 0003|  1.81993 |   8.30166 |G|  3961| 0.013212 |S1L |14.2 |  0.000|41|2|49|17|11|6|0
52|NGC 0002|  1.82133 |  27.67844 |G|  7547| 0.025174 |S1L |14.96|  0.000|50|3|43|16|17|8|0
53|NGC 7831|  1.83122 |  32.60907 |G|  5074| 0.016925 |S1L |13.60|  0.000|72|2|33|23|17|6|0
54|NGC 0004|  1.85175 |   8.37382 |G|  8817| 0.029409 |PUN |     |  0.000|4|0|35|6|1|2|0
55|NGC 0005|  1.95361 |  35.36230 |G|  5009| 0.016708 |SUN |14.33|  0.000|26|2|33|11|7|6|0
56|NGC 7836|  2.00676 |  33.07058 |G|  4904| 0.016358 |SUN |14.4 |  0.000|70|4|59|21|16|5|0
57|NGC 0007|  2.08725 | -29.91488 |G|  1495| 0.004987 |SUN |13.47|  0.000|67|3|48|22|22|15|0
58|NGC 0010|  2.14394 | -33.85835 |G|  6804| 0.022696 |S1L |13.3 |  0.000|58|1|55|18|21|18|0
59|NGC 0011|  2.17717 |  37.44791 |G|  4389| 0.014640 |SUN |14.59|  0.000|37|0|47|17|12|7|0
60|NGC 0012|  2.18655 |   4.61265 |G|  3934| 0.013122 |S1L |13.8 |  0.000|55|1|58|18|11|7|0
61|NGC 0014|  2.19330 |  15.81564 |G|   863| 0.002879 |S1L |12.71|  0.000|113|3|47|28|22|8|0
62|NGC 0013|  2.19878 |  33.43334 |G|  4811| 0.016048 |SUN |14.01|  0.000|61|2|43|20|15|7|0
63|NGC 0009|  2.22768 |  23.81719 |G|  4527| 0.015102 |MUN |14.35|  0.000|71|3|44|16|13|7|0
64|NGC 0015|  2.26025 |  21.62449 |G|  6332| 0.021121 |SUN |14.67|  0.000|31|0|35|11|9|7|0
65|NGC 0016|  2.26783 |  27.72940 |G|  3100| 0.010340 |UUN |13.00|  0.000|98|5|53|16|11|6|0
66|NGC 0006|  2.38590 |  33.30884 |G|  4901| 0.016348 |SUN |14.04|  0.000|38|3|34|15|9|7|0
67|IC 1531|  2.39816 | -32.27692 |G|  7687| 0.025641 |SUN |13.80|  0.000|89|1|70|35|20|22|0
68|NGC 0022|  2.45083 |  27.83227 |G|  8312| 0.027726 |UUN |14.43|  0.000|50|1|43|17|15|6|0
69|IC 1532|  2.47002 | -64.37175 |G|  1831| 0.006108 |SUN |14.78|  0.000|38|2|19|12|10|14|0
70|NGC 0023|  2.47257 |  25.92390 |G|  4513| 0.015054 |UUN |12.85|  0.000|354|11|188|71|51|14|0
71|NGC 0024|  2.48528 | -24.96322 |G|   554| 0.001848 |S1L |12.38|  0.000|254|7|123|41|21|19|0
72|NGC 0025|  2.49691 | -57.02080 |G|  9465| 0.031572 |SUN |13.0 |  0.000|43|2|65|16|11|17|0
73|NGC 0028|  2.60515 | -56.98906 |G|  9595| 0.032005 |SLS |15.37|  0.000|14|1|32|9|6|2|0
74|NGC 0026|  2.60775 |  25.83194 |G|  4593| 0.015321 |SUN |13.62|  0.000|103|3|60|23|22|7|0
75|NGC 0027|  2.63653 |  28.99625 |G|  7849| 0.026181 |S1L |14.45|  0.000|58|1|50|19|18|7|0
76|NGC 0031|  2.66002 | -56.98649 |G|  9601| 0.032025 |SLS |14.59|  0.000|21|3|43|12|5|16|0
77|NGC 0019|  2.67028 |  32.98295 |G|  4788| 0.015971 |S1L |13.99|  0.000|70|4|60|25|14|7|0
78|NGC 0021|  2.69547 |  33.35273 |G|  4765| 0.015894 |S1L |13.51|  0.000|80|3|53|22|21|7|0
79|IC 0002|  2.75346 | -12.82249 |G|  6775| 0.022599 |SUN |15   |  0.000|19|0|35|10|7|3|0
80|NGC 0017|  2.77725 | -12.10768 |G|  5881| 0.019617 |UUN |15.25|  0.000|337|9|231|68|54|10|0
81|NGC 0035|  2.79373 | -12.02078 |G|  5964| 0.019894 |SUN |14.74|  0.000|22|1|66|13|6|3|0
82|NGC 0036|  2.84279 |   6.38948 |G|  6029| 0.020111 |S1L |13.95|  0.000|97|1|43|29|27|7|0
83|NGC 0037|  2.84564 | -56.95730 |G|  9809| 0.032719 |SLS |14.66|  0.000|21|2|35|12|8|16|0
84|NGC 0038|  2.94583 |  -5.58634 |G|  8035| 0.026802 |SUN |14.34|  0.000|19|0|32|11|4|6|0
85|IC 0003|  3.02537 |  -0.41519 |G|  5447| 0.018169 |SLS |14.7g|  0.000|39|0|88|22|17|10|0
86|NGC 0039|  3.07855 |  31.06110 |G|  4857| 0.016201 |SUN |14.21|  0.000|52|0|46|16|12|7|0
87|NGC 0041|  3.19994 |  22.02352 |G|  5946| 0.019834 |S1L |14.63|  0.000|46|0|42|19|15|5|0
88|NGC 0042|  3.23473 |  22.10029 |G|  5981| 0.019950 |SUN |14.76|  0.000|28|1|29|9|6|7|0
89|NGC 0043|  3.25319 |  30.91525 |G|  4785| 0.015961 |SUN |13.60|  0.000|47|0|39|14|13|7|0
90|IC 0004|  3.36216 |  17.48640 |G|  5003| 0.016688 |S1L |14.04|  0.000|50|1|54|19|14|7|0
91|WISEA J001333.83-385940.9|  3.39097 | -38.99470 |G| 26170| 0.087294 |SUN |20.7 |  0.000|1|0|20|4|1|0|0
92|GALEXMSC J001349.23-391927.1  |  3.45576 | -39.32386 |G| 17282| 0.057647 |SUN |19.7 |  0.000|1|0|4|2|1|0|0
93|NGC 0045|  3.51664 | -23.18206 |G|   467| 0.001558 |SUN |11.55|  0.000|258|12|96|38|17|19|0
94|LCRS B001155.5-394007|  3.60838 | -39.39084 |G|  8763| 0.029230 |SUN |17.54|  0.000|3|0|39|9|2|2|0
95|NGC 0047|  3.62760 |  -7.16743 |G|  5700| 0.019013 |SUN |13.50|  0.000|36|1|44|12|9|6|0
96|NGC 0052|  3.66710 |  18.58220 |G|  5400| 0.018012 |S1L |14.34|  0.000|55|1|53|19|15|6|0
97|SSTSL2 J001440.84-390937.3|  3.67006 | -39.16052 |G| 19941| 0.066516 |SUN |     |  0.000|6|0|31|5|1|1|0
98|NGC 0053|  3.67862 | -60.32838 |G|  4568| 0.015237 |SUN |13.33|  0.000|45|4|47|13|9|17|0
99|NGC 0050|  3.68578 |  -7.34512 |G|  5701| 0.019016 |SUN |13.30|  0.000|49|2|30|16|14|5|0
100|NGC 0055|  3.72335 | -39.19657 |G|   131| 0.000437 |UUN | 8.84|  0.000|576|12|89|40|28|18|0
101|GALEXASC J001456.67-392610.4  |  3.73513 | -39.43613 |G| 26016| 0.086780 |SUN |20.5 |  0.000|1|0|6|3|1|0|0
102|NGC 0054|  3.78183 |  -7.10676 |G|  5337| 0.017802 |SUN |14.26|  0.000|35|2|45|13|10|5|0
103|WISEA J001523.35-391714.6|  3.84733 | -39.28740 |G|  5089| 0.016975 |SUN |20.3 |  0.000|1|0|22|3|1|0|0
104|NGC 0059|  3.85488 | -21.44450 |G|   362| 0.001207 |UUN |12.9B|  0.000|92|1|76|27|11|18|0
105|LCRS B001300.1-392355|  3.87654 | -39.12087 |G| 18538| 0.061836 |SLS |15.07|  0.000|11|0|55|10|4|5|1
106|NGC 0057|  3.87881 |  17.32842 |G|  5360| 0.017880 |SLS |12.67|  0.000|104|0|80|29|16|10|1
107|LCRS B001306.8-392624|  3.90513 | -39.16262 |G| 19094| 0.063691 |SLS |15.62|  0.000|12|0|52|8|4|2|0
108|NGC 0060|  3.99271 |  -0.30352 |G| 11804| 0.039373 |SLS |15.0g|  0.000|54|1|79|18|18|15|0
109|NGC 0061B|  4.10028 |  -6.31885 |G|  8152| 0.027192 |S1L |15.5 |  0.000|10|1|1|4|1|2|0
110|NGC 0061|  4.10124 |  -6.31916 |GPair|  8070| 0.026919 |SUN |14.95|  0.000|4|0|1|2|1|0|0
111|NGC 0061A|  4.10151 |  -6.32182 |G|  7946| 0.026505 |SUN |15   |  0.000|22|1|28|9|6|6|0
112|NGC 0062|  4.27264 | -13.48714 |G|  6464| 0.021562 |SUN |14.08|  0.000|25|1|36|14|7|5|0
113|NGC 0064|  4.37659 |  -6.82460 |G|  7310| 0.024384 |S1L |14.14|  0.000|38|1|44|15|12|6|0
114|IC 0005|  4.39558 |  -9.54334 |G|  6690| 0.022315 |SLS |14.3g|  0.000|36|0|72|18|14|12|0
115|NGC 0063|  4.43964 |  11.45032 |G|  1160| 0.003869 |SUN |12.63|  0.000|97|1|62|24|17|7|0
