# name, ra, dec, redshift 
IC 2012 NED01, 58.23019, -58.64956, 0.069298 
IC 2012, 58.23052, -58.65100, 0.069500 
NGC 1465, 58.38292, 32.49274, 0.013451 
NGC 1490, 58.39273, -66.01804, 0.017897 
IC 2009, 58.39567, -48.98925, 0.005250 
IC 0355, 58.44272, 19.97394, 0.028843 
NGC 1472, 58.44724, -8.56847, 0.032466 
NGC 1475, 58.45756, -8.13752, 0.033643 
NGC 1477, 58.51201, -8.57494, 0.032983 
NGC 1478, 58.53037, -8.55531, 0.033310 
NGC 1484, 58.58409, -36.96874, 0.003469 
IC 2006, 58.61856, -35.96710, 0.004610 
NGC 1481, 58.62075, -20.42716, 0.006026 
NGC 1474, 58.62636, 10.70686, 0.017415 
NGC 1482, 58.66242, -20.50223, 0.006391 
IC 2014, 58.84025, -56.74625, 0.024280 
IC 2007, 58.84502, -28.15827, 0.005047 
NGC 1487 NED01, 58.93903, -42.36769, 0.002729 
NGC 1487 NED02, 58.94628, -42.36843, 0.002939 
NGC 1487, 58.94900, -42.36365, 0.002829 
NGC 1486, 59.07785, -21.82121, 0.024787 
NGC 1503, 59.13856, -66.04069, 0.019814 
IC 2017, 59.16404, -59.39462, 0.018400 
NGC 1493, 59.36440, -46.21071, 0.003512 
NGC 1489, 59.40883, -19.21671, 0.038550 
IC 2005, 59.41471, 36.78749, 0.019440 
NGC 1494, 59.42914, -48.90777, 0.003773 
IC 2018, 59.47736, -52.78105, 0.033880 
IC 2015, 59.54757, -40.38937, 0.053534 
NGC 1492, 59.55449, -35.44639, 0.015067 
NGC 1500, 59.55831, -52.32814, 0.033737 
NGC 1495, 59.59110, -44.46636, 0.004282 
IC 2022, 59.66660, -59.04396, 0.022429 
IC 2020, 59.72145, -54.05807, 0.021341 
IC 2021, 59.84980, -52.65669, 0.047820 
NGC 1511, 59.90398, -67.63419, 0.004474 
IC 2023, 59.91921, -52.68110, 0.032676 
IC 2024, 60.01745, -53.37102, 0.038990 
NGC 1511A, 60.07754, -67.80673, 0.004466 
NGC 1506, 60.08979, -52.57376, 0.034260 
IC 2025, 60.09656, -53.06565, 0.043357 
NGC 1511B, 60.22792, -67.61194, 0.004350 
WISEA J040115.10-532923.0, 60.31295, -53.48974, 0.003786 
IC 2029, 60.32492, -52.80069, 0.033517 
IC 2028, 60.32609, -52.70741, 0.033240 
IC 2019, 60.47357, 5.63943, 0.018503 
IC 2016, 60.49939, 20.24007, 0.021822 
NGC 1497, 60.52839, 23.13290, 0.020544 
NGC 1504, 60.62367, -9.33542, 0.032522 
NGC 1505, 60.65173, -9.32242, 0.032569 
NGC 1510, 60.88626, -43.39996, 0.003045 
IC 0358, 60.92862, 19.89502, 0.022606 
IC 0357, 60.93335, 22.15915, 0.020884 
NGC 1515A, 60.95772, -54.11290, 0.043774 
NGC 1512, 60.97569, -43.34879, 0.002995 
NGC 1509, 60.97997, -11.17911, 0.028999 
NGC 1515, 61.01112, -54.10017, 0.003920 
NGC 1507, 61.11320, -2.18856, 0.002879 
NGC 1526, 61.30138, -65.83990, 0.017799 
NGC 1508, 61.44854, 25.40845, 0.023883 
NGC 1522, 61.53291, -52.66895, 0.002997 
IC 2031, 61.56130, -5.65189, 0.016088 
IC 2034, 61.65327, -57.96129, 0.027959 
IC 2027, 61.66503, 37.11576, 0.020834 
NGC 1518, 61.70759, -21.17319, 0.003062 
IC 2032, 61.76242, -55.32316, 0.003564 
IC 2033, 61.81005, -53.68088, 0.041482 
NGC 1529, 61.83294, -62.89931, 0.017085 
IC 2054, 61.85971, -78.25336, 0.068591 
NGC 1516A, 62.03105, -8.82924, 0.033180 
NGC 1519, 62.03205, -17.19281, 0.006068 
NGC 1516B, 62.03449, -8.83493, 0.032903 
NGC 1521, 62.07886, -21.05199, 0.014153 
IC 2037, 62.07957, -58.75112, 0.027769 
NGC 1527, 62.10043, -47.89689, 0.004043 
NGC 1534, 62.19192, -62.79769, 0.017802 
UGC 02966, 62.19615, 8.51485, 0.011915 
IC 2038, 62.22390, -55.98986, 0.002375 
IC 2035, 62.25770, -45.51755, 0.004983 
IC 2039, 62.25985, -56.01151, 0.002725 
NGC 1517, 62.29974, 8.64870, 0.011615 
GEMS_N1566_05, 62.42500, -56.11528, 0.002655 
NGC 1533, 62.46594, -56.11845, 0.002635 
IC 2036, 62.47961, -39.68864, 0.020861 
NGC 1536, 62.74977, -56.48074, 0.004059 
IC 2043, 62.78939, -53.68652, 0.039250 
IC 2046, 62.85230, -54.67307, 0.035098 
NGC 1531, 62.99702, -32.85093, 0.003969 
IC 2049, 63.01801, -58.55696, 0.004899 
NGC 1532, 63.01806, -32.87410, 0.003468 
IC 0359, 63.11799, 27.70195, 0.013025 
IC 2041, 63.14550, -32.81741, 0.004203 
NGC 1543, 63.17989, -57.73788, 0.003922 
IC 2040, 63.24931, -32.55345, 0.004423 
NGC 1537, 63.41944, -31.64521, 0.004767 
IC 2050, 63.48398, -53.47539, 0.041255 
IC 2045, 63.64999, -13.17481, 0.030348 
NGC 1546, 63.65164, -56.06102, 0.004284 
NGC 1538, 63.73365, -13.19164, 0.026865 
IC 2052, 63.74389, -54.33620, 0.037700 
NGC 1540B, 63.79171, -28.48208, 0.018790 
NGC 1540, 63.79311, -28.48433, 0.018646 
NGC 1540A, 63.79432, -28.48820, 0.018553 
NGC 1549, 63.93794, -55.59218, 0.004190 
IC 2053, 63.98175, -49.35834, 0.031092 
NGC 1553, 64.04348, -55.78001, 0.003602 
IC 2056, 64.10191, -60.20652, 0.003779 
IC 0362, 64.17679, -12.20011, 0.029877 
NGC 1541, 64.25094, 0.83520, 0.016708 
NGC 1547, 64.30170, -17.85752, 0.031925 
NGC 1542, 64.30897, 4.78161, 0.012359 
NGC 1559, 64.39896, -62.78370, 0.004350 
NGC 1556, 64.43669, -50.16398, 0.003299 
IC 2060, 64.47255, -56.61625, 0.022189 
IC 2058, 64.47604, -55.93331, 0.004599 
IC 0363, 64.73096, 3.03305, 0.011705 
ESO 118- G 019, 64.74787, -58.25756, 0.004133 
NGC 1539, 64.75818, 26.82750, 0.018796 
IC 0364, 64.77792, 3.18900, 0.012882 
IC 0365, 64.80894, 3.34842, 0.024420 
NGC 1550, 64.90804, 2.40994, 0.012403 
IC 0366, 64.92308, 2.35981, 0.012462 
NGC 1566, 65.00164, -54.93794, 0.005017 
NGC 1558, 65.06752, -45.03146, 0.015103 
NGC 1552, 65.07363, -0.69276, 0.015958 
IC 2059, 65.10958, -31.72440, 0.009443 
IC 0367, 65.17075, -14.78094, 0.030785 
NGC 1567, 65.28649, -48.25470, 0.015454 
IC 2065, 65.36673, -55.93323, 0.014130 
NGC 1562, 65.44845, -15.75548, 0.030745 
IC 2057, 65.48376, 4.04838, 0.024694 
NGC 1574, 65.49479, -56.97451, 0.003472 
NGC 1570, 65.53723, -43.62957, 0.014820 
IC 2063, 65.66794, -15.66038, 0.037309 
IC 0368, 65.67806, -12.61512, 0.020791 
NGC 1572, 65.67837, -40.60084, 0.020384 
WISEA J042251.76-561338.7, 65.71568, -56.22743, 0.004503 
NGC 1563, 65.72482, -15.73256, 0.031192 
NGC 1564, 65.75405, -15.73882, 0.030698 
NGC 1561, 65.75461, -15.84559, 0.030051 
NGC 1565, 65.84782, -15.74434, 0.030668 
IC 2064, 65.86150, -15.68514, 0.031832 
IC 0369, 65.86764, -11.79007, 0.033089 
IC 2066, 65.88458, -54.73323, 0.038590 
NGC 1578, 65.94424, -51.59945, 0.020608 
IC 0370, 66.00701, -9.39486, 0.032429 
NGC 1568A, 66.08598, -0.73833, 0.015427 
NGC 1568, 66.10555, -0.74619, 0.015194 
IC 2070, 66.14859, -57.98087, 0.023443 
NGC 1581, 66.18701, -54.94200, 0.005337 
WISEA J042509.24-581552.3, 66.28853, -58.26454, 0.023720 
NGC 1559:[ZSF97] a, 66.29635, -63.61440, 0.004286 
NGC 1576, 66.57840, -3.62111, 0.016218 
NGC 1575, 66.58562, -10.09852, 0.031265 
IC 2073, 66.64093, -53.18706, 0.013249 
IC 2068, 66.65358, -42.09374, 0.014980 
LSBG F157-081, 66.80785, -57.42821, 0.004053 
ESO 157- G 030, 66.88602, -54.19664, 0.004907 
NGC 1585, 66.88752, -42.16514, 0.015534 
NGC 1596, 66.90887, -55.02768, 0.005037 
GEMS_N1566_11, 66.93750, -55.01889, 0.005244 
NGC 1602, 66.97891, -55.05772, 0.005230 
NGC 1584, 67.04276, -17.52339, 0.029981 
NGC 1580, 67.07700, -5.17875, 0.014233 
NGC 1583, 67.08647, -17.59544, 0.029183 
NGC 1595, 67.09082, -47.81575, 0.016051 
IC 2079, 67.12835, -53.73787, 0.035865 
NGC 1598, 67.14028, -47.78244, 0.017118 
WISEA J042846.05-534950.2, 67.19189, -53.83063, 0.028803 
WISEA J042848.15-534702.5, 67.20066, -53.78403, 0.041535 
WISEA J042852.57-535123.4, 67.21905, -53.85652, 0.041332 
WISEA J042855.96-534734.8, 67.23317, -53.79302, 0.039124 
IC 2081, 67.25367, -53.61355, 0.042489 
WISEA J042902.55-534125.8, 67.26063, -53.69050, 0.041932 
WISEA J042906.68-540120.6, 67.27786, -54.02241, 0.044014 
IC 2082 NED02, 67.27910, -53.82673, 0.039928 
IC 2082 NED01, 67.28398, -53.82790, 0.040361 
IC 2082, 67.28433, -53.82783, 0.039311 
WISEA J042911.13-535253.8, 67.29641, -53.88163, 0.036735 
WISEA J042916.23-535418.4, 67.31763, -53.90512, 0.036996 
WISEA J042918.02-532925.3, 67.32510, -53.49037, 0.042966 
WISEA J042918.62-534342.6, 67.32761, -53.72852, 0.043850 
WISEA J042919.39-534858.5, 67.33080, -53.81627, 0.042616 
WISEA J042919.86-535137.0, 67.33276, -53.86028, 0.035521 
2MASX J04292236-5346004, 67.34325, -53.76669, 0.040778 
WISEA J042927.04-534937.6, 67.36269, -53.82714, 0.040308 
WISEA J042929.63-535157.1, 67.37346, -53.86588, 0.040054 
NGC 1591, 67.37703, -26.71330, 0.013719 
WISEA J042938.96-535009.1, 67.41235, -53.83586, 0.042476 
WISEA J042939.40-535246.8, 67.41419, -53.87968, 0.038814 
NGC 1592, 67.41721, -27.40853, 0.003149 
WISEA J042942.13-535305.9, 67.42555, -53.88498, 0.042923 
WISEA J042944.57-534513.8, 67.43572, -53.75385, 0.038947 
WISEA J042944.84-534836.4, 67.43686, -53.81012, 0.034250 
ESO 157- G 036, 67.45663, -53.81463, 0.043460 
WISEA J042954.41-534455.4, 67.47674, -53.74873, 0.042099 
WISEA J042957.56-534513.6, 67.48987, -53.75379, 0.042349 
IC 0372, 67.51771, -5.00995, 0.013996 
NGC 1586, 67.65929, -0.30401, 0.011882 
NGC 1587, 67.66643, 0.66167, 0.012309 
IC 0373, 67.67822, -4.87025, 0.013373 
WISEA J043042.94-534215.9, 67.67892, -53.70442, 0.041252 
NGC 1588, 67.68249, 0.66479, 0.011701 
IC 2083, 67.68437, -53.98083, 0.043036 
NGC 1589, 67.68934, 0.86364, 0.012662 
NGC 1594, 67.71515, -5.79826, 0.014443 
IC 0375, 67.76311, -12.97397, 0.035104 
NGC 1590, 67.79277, 7.63086, 0.012999 
NGC 1597, 67.80613, -11.29034, 0.033390 
IC 0376, 67.80744, -12.43330, 0.032239 
IC 0377, 67.81894, -12.45505, 0.030768 
IC 2085, 67.85128, -54.41692, 0.003276 
WISEA J043126.65-050731.2, 67.86108, -5.12536, 0.059972 
IC 0378, 67.86641, -12.29969, 0.029587 
IC 2086, 67.88398, -53.64767, 0.042303 
NGC 1599, 67.91148, -4.58846, 0.013519 
NGC 1617, 67.91416, -54.60208, 0.003566 
NGC 1600, 67.91612, -5.08627, 0.015712 
IC 0380, 67.92223, -12.92695, 0.017152 
NGC 1601, 67.92399, -5.06031, 0.016668 
NGC 1603, 67.95816, -5.09439, 0.016585 
IC 0379, 67.96235, -7.23834, 0.030568 
IC 2080, 67.96724, -5.75689, 0.013714 
NGC 1604, 67.99415, -5.36978, 0.014920 
NGC 1607, 68.01295, -4.45996, 0.013856 
NGC 1606, 68.01396, -5.03244, 0.016018 
NGC 1593, 68.02561, 0.56744, 0.012582 
IC 0374, 68.13653, 16.63416, 0.013709 
NGC 1616, 68.17397, -43.71581, 0.014880 
NGC 1609, 68.18785, -4.37239, 0.014433 
IC 2089, 68.21081, -75.53992, 0.015787 
NGC 1611, 68.27475, -4.29743, 0.014363 
NGC 1612, 68.30467, -4.17242, 0.016591 
NGC 1613, 68.35551, -4.26534, 0.015007 
NGC 1614, 68.50012, -8.57919, 0.015938 
NGC 1610, 68.55786, -4.69980, 0.015434 
NGC 1623, 68.88511, -13.55631, 0.033760 
NGC 1615, 69.00445, 19.95011, 0.011107 
NGC 1618, 69.02736, -3.14858, 0.016321 
NGC 1621, 69.10442, -4.98731, 0.014954 
NGC 1622, 69.15284, -3.18884, 0.016175 
NGC 1620, 69.15574, -0.14356, 0.011715 
NGC 1625, 69.27631, -3.30307, 0.015874 
NGC 1630, 69.31453, -18.90153, 0.030835 
ARK 108, 69.38197, -0.27151, 0.012515 
NGC 1628, 69.40123, -4.71497, 0.012325 
UGC 03109, 69.40701, -0.29394, 0.012389 
NGC 1627, 69.40844, -4.88735, 0.012866 
IC 0382, 69.48153, -9.51931, 0.016678 
NGC 1631, 69.60065, -20.64988, 0.031001 
IC 0383, 69.74177, 9.89255, 0.026979 
IC 0384, 69.82623, -7.83907, 0.015704 
ESO 157- G 047, 69.82981, -54.21098, 0.005522 
IC 0385, 69.88114, -7.09740, 0.014774 
ESO 157- G 049, 69.90404, -53.01225, 0.005597 
IC 2103, 69.94976, -76.83686, 0.014410 
NGC 1632, 69.99412, -9.45617, 0.016631 
NGC 1635, 70.03284, -0.54745, 0.011091 
NGC 1633, 70.03795, 7.34949, 0.016632 
NGC 1634, 70.04076, 7.33875, 0.014710 
NGC 1636, 70.16752, -8.60784, 0.013846 
NGC 1637, 70.36743, -2.85794, 0.002392 
NGC 1638, 70.40212, -1.80905, 0.011001 
IC 0387, 70.43439, -7.08628, 0.015104 
IC 0388 NED01, 70.46843, -7.30456, 0.018263 
IC 0388 NED02, 70.47636, -7.30638, 0.015137 
IC 0389, 70.49850, -7.31143, 0.015981 
IC 0390, 70.51631, -7.20645, 0.015808 
NGC 1640, 70.56042, -20.43477, 0.005350 
ESO 551- G 031, 70.62051, -21.69195, 0.005804 
NGC 1642, 70.72884, 0.61867, 0.015419 
NGC 1669, 70.74981, -65.81432, 0.018776 
NGC 1643, 70.93305, -5.31932, 0.016261 
NGC 1658, 71.00561, -41.46346, 0.017382 
NGC 1645, 71.02666, -5.46564, 0.016345 
NGC 1660, 71.04752, -41.49757, 0.020891 
NGC 1646 NED01, 71.09801, -8.53121, 0.016068 
NGC 1648, 71.14503, -8.47875, 0.015748 
NGC 1650, 71.29796, -15.87003, 0.035992 
APMBGC 118-129-038, 71.37411, -59.22354, 0.004263 
NGC 1672, 71.42709, -59.24727, 0.004440 
NGC 1653, 71.44723, -2.39288, 0.014269 
NGC 1654, 71.45212, -2.08385, 0.014947 
NGC 1656, 71.47241, -5.13669, 0.012572 
NGC 1668, 71.52473, -44.73337, 0.033520 
NGC 1657, 71.53037, -2.07724, 0.014357 
IC 0392, 71.60736, 3.50508, 0.013756 
NGC 1659, 71.62472, -4.78884, 0.015581 
NGC 1661, 71.78186, -2.05442, 0.029654 
IC 0393, 71.96587, -15.52514, 0.039170 
NGC 1665, 72.07114, -5.42758, 0.009156 
NGC 1688, 72.09958, -59.80047, 0.004095 
IC 2094, 72.10355, -5.35261, 0.044754 
NGC 1666, 72.13685, -6.57002, 0.009183 
NGC 1680, 72.14122, -47.81634, 0.014397 
NGC 1667, 72.15499, -6.32003, 0.015257 
IC 2095, 72.19038, -5.12531, 0.009497 
WISEA J044909.59+131302.9, 72.28999, 13.21748, 0.085712 
WISEA J044925.69+130825.1, 72.35705, 13.14031, 0.058835 
NGC 1671, 72.39186, 0.25282, 0.021297 
NGC 1670, 72.42762, -2.76055, 0.015361 
NGC 1679, 72.47767, -31.96467, 0.003506 
IC 2097, 72.60092, -5.08122, 0.016475 
IC 2098, 72.68465, -5.41877, 0.009410 
NGC 1677, 72.71703, -4.89278, 0.009190 
NGC 1687, 72.83912, -33.93894, 0.018306 
NGC 1678, 72.89765, -2.62310, 0.015294 
IC 2101, 72.92595, -6.23128, 0.015100 
NGC 1681, 72.95877, -5.80311, 0.009176 
IC 2102, 72.98027, -4.95200, 0.012110 
NGC 1683, 73.07352, -3.02453, 0.013146 
NGC 1682, 73.08246, -3.10582, 0.014657 
NGC 1706, 73.12928, -62.98567, 0.016308 
NGC 1684, 73.12956, -3.10600, 0.014838 
NGC 1685, 73.14290, -2.94924, 0.015190 
NGC 1703, 73.21734, -59.74228, 0.005090 
NGC 1686, 73.22772, -15.34649, 0.019020 
NGC 1705, 73.55632, -53.36097, 0.002112 
NGC 1690, 73.58032, 1.64036, 0.029230 
NGC 1691, 73.65978, 3.26798, 0.015281 
NGC 1694, 73.82018, -4.65264, 0.013056 
NGC 1692, 73.84882, -20.57108, 0.035364 
NGC 1701, 73.96312, -29.88361, 0.019467 
IC 2104, 74.07900, -15.79789, 0.018369 
IC 2106, 74.14114, -28.50393, 0.016595 
NGC 1700, 74.23462, -4.86574, 0.013006 
NGC 1699, 74.24853, -4.75684, 0.013129 
NGC 1710, 74.32107, -15.28899, 0.016875 
IC 0398, 74.55220, -7.78041, 0.012585 
NGC 1716, 74.55551, -20.36371, 0.022742 
NGC 1765, 74.60062, -62.02834, 0.029507 
NGC 1709, 74.68348, -0.47818, 0.015718 
NGC 1713, 74.72758, -0.48893, 0.014780 
NGC 1771, 74.73213, -63.29814, 0.016748 
NGC 1721, 74.82251, -11.11862, 0.015010 
NGC 1720, 74.83590, -7.85901, 0.013963 
NGC 1725, 74.84541, -11.13233, 0.012956 
NGC 1723, 74.85791, -10.98072, 0.012479 
NGC 1728, 74.86564, -11.12303, 0.012552 
NGC 1730, 74.88266, -15.82367, 0.013239 
NGC 1719, 74.89423, -0.26042, 0.013890 
NGC 1726, 74.92458, -7.75522, 0.013079 
NGC 1744, 74.99057, -26.02192, 0.002472 
2MASX J05001448-0321178, 75.06070, -3.35521, 0.011988 
NGC 1729, 75.06539, -3.35255, 0.012115 
IC 2112, 75.12563, 4.38655, 0.035720 
NGC 1759, 75.20441, -38.67393, 0.054241 
NGC 1741 NED02, 75.39766, -4.25673, 0.089729 
NGC 1741B, 75.40070, -4.26203, 0.013797 
NGC 1741 NED03, 75.40733, -4.25789, 0.013406 
NGC 1741, 75.40957, -4.25701, 0.013473 
NGC 1741A, 75.41112, -4.25933, 0.013589 
IC 0399, 75.43362, -4.28862, 0.013333 
NGC 1738, 75.44459, -18.15718, 0.013066 
NGC 1739, 75.44731, -18.16690, 0.013082 
NGC 1740, 75.47841, -3.29621, 0.013780 
NGC 1809, 75.52084, -69.56802, 0.004336 
NGC 1752, 75.53958, -8.24050, 0.011932 
NGC 1753, 75.63453, -3.34434, 0.012982 
NGC 1796, 75.67762, -61.13998, 0.003381 
NGC 1762, 75.90449, 1.57336, 0.015858 
IC 0400, 75.94046, -15.81925, 0.011625 
IC 0401, 76.08180, -10.07660, 0.011194 
NGC 1796A, 76.26239, -61.48459, 0.029000 
NGC 1792, 76.31003, -37.98060, 0.004039 
NGC 1779, 76.32513, -9.14725, 0.010917 
NGC 1803, 76.36131, -49.56764, 0.013626 
NGC 1784, 76.36304, -11.87132, 0.007735 
IC 0402, 76.56212, -9.10747, 0.011129 
NGC 1780, 76.58637, -19.46658, 0.015871 
NGC 1800, 76.60663, -31.95410, 0.002692 
IC 2119, 76.71229, -20.34512, 0.032429 
NGC 1824, 76.73118, -59.72361, 0.004163 
WISEA J050722.75-372803.9, 76.84481, -37.46775, 0.068536 
NGC 1808, 76.92638, -37.51274, 0.003339 
NGC 1799, 76.93586, -7.96919, 0.014824 
NGC 1797, 76.93693, -8.01906, 0.014867 
NGC 1796B NED01, 76.97322, -61.19035, 0.019207 
NGC 1796B, 76.97590, -61.19019, 0.019207 
NGC 1781, 76.97932, -18.18983, 0.016645 
WISEA J050806.60-373122.2, 77.02752, -37.52286, 0.071700 
NGC 1811, 77.17805, -29.27594, 0.013172 
NGC 1812, 77.22037, -29.25110, 0.013059 
NGC 1827, 77.51887, -36.96018, 0.003459 
NGC 1821, 77.94165, -15.13443, 0.012029 
NGC 1819, 77.94226, 5.20061, 0.014894 
NGC 1832, 78.01397, -15.68780, 0.006468 
NGC 1853, 78.06866, -57.39899, 0.004710 
IC 0404, 78.33167, 9.75497, 0.030240 
NGC 1843, 78.52556, -10.62693, 0.008683 
NGC 1892, 79.28785, -64.95968, 0.004546 
IC 0407, 79.42761, -15.52346, 0.009417 
IC 2122, 79.75591, -37.08938, 0.015734 
IC 0409, 79.88979, 3.31839, 0.028320 
IC 0409 NED01, 79.88999, 3.31747, 0.028316 
NGC 1956, 79.89764, -77.72863, 0.016158 
IC 2121, 79.93703, -25.06441, 0.034504 
NGC 1879, 79.95096, -32.14275, 0.004136 
IC 0411, 80.07758, -25.32452, 0.031852 
IC 0415, 80.34010, -15.54260, 0.011268 
NGC 1875, 80.44073, 6.68882, 0.030000 
NGC 1886, 80.45073, -23.80991, 0.005854 
IC 0414, 80.47930, 3.34181, 0.014914 
IC 0412, 80.48629, 3.48640, 0.014380 
IC 0413, 80.49488, 3.48221, 0.014453 
NGC 1888, 80.64354, -11.49956, 0.007672 
NGC 1889, 80.64708, -11.49694, 0.008242 
NGC 2012, 80.64763, -79.85185, 0.016218 
IC 0416, 80.98510, -17.26046, 0.010641 
IC 2125, 81.11720, -27.01611, 0.030448 
NGC 1906, 81.19668, -15.94351, 0.009954 
NGC 1930, 81.48672, -46.72853, 0.014473 
NGC 1947, 81.69808, -63.75989, 0.003669 
NGC 1924, 82.00828, -5.31063, 0.008476 
IC 2129, 82.96012, -23.14497, 0.006081 
IC 0421, 83.03566, -7.91815, 0.011835 
IC 0422, 83.07727, -17.22393, 0.009880 
IC 2132, 83.11919, -13.92690, 0.011201 
NGC 1954, 83.20146, -14.06267, 0.010437 
NGC 1957, 83.23004, -14.13309, 0.010881 
IC 2142, 83.28662, -78.01948, 0.005851 
IC 2135, 83.30321, -36.39864, 0.004376 
NGC 1998, 83.31563, -48.69561, 0.015137 
NGC 1964, 83.34024, -21.94554, 0.005540 
NGC 1979, 83.50456, -23.31007, 0.005667 
IC 2137, 83.59037, -23.53333, 0.005734 
NGC 1989, 83.59764, -30.80108, 0.035755 
NGC 1992, 83.63249, -30.89688, 0.035361 
NGC 2007, 83.74639, -50.92160, 0.015087 
NGC 2008, 83.76587, -50.96683, 0.034387 
NGC 1993, 83.85653, -17.81532, 0.010457 
IC 2146, 84.45303, -74.78384, 0.010432 
NGC 2078, 84.91187, -69.74325, 0.000737 
IC 0433, 85.13064, -11.66557, 0.024000 
NGC 2144, 85.23835, -82.11948, 0.015924 
NGC 2082, 85.46381, -64.30121, 0.003950 
NGC 2049, 85.81384, -30.07842, 0.010000 
IC 2147, 85.86747, -30.49505, 0.004363 
NGC 2087, 86.06712, -55.53253, 0.014910 
NGC 2073, 86.47456, -21.99917, 0.009950 
NGC 2101, 86.60057, -52.08851, 0.004016 
NGC 2076, 86.69786, -16.78279, 0.007145 
IC 2143, 86.71928, -18.72646, 0.010177 
NGC 2090, 86.75791, -34.25022, 0.003075 
NGC 2104, 86.76902, -51.55258, 0.003873 
NGC 2089, 86.96432, -17.60244, 0.009960 
NGC 2106, 87.69435, -21.56721, 0.006568 
IC 2150, 87.82741, -38.32054, 0.010404 
NGC 2115A, 87.83254, -50.58286, 0.023389 
NGC 2115B, 87.83846, -50.59236, 0.023323 
IC 0437, 87.90593, -12.56469, 0.022912 
NGC 2110, 88.04741, -7.45624, 0.007849 
IC 2151, 88.15164, -17.78721, 0.010377 
IC 0438, 88.25028, -17.87602, 0.010417 
NGC 2138, 88.70888, -65.83685, 0.005269 
IC 2160, 88.86952, -76.92040, 0.015809 
NGC 2150, 88.94318, -69.56084, 0.014902 
NGC 2119, 89.36234, 11.94907, 0.011548 
NGC 2124, 89.46770, -20.08450, 0.009880 
IC 2152, 89.47251, -23.18073, 0.006254 
NGC 2148, 89.69106, -59.12590, 0.033867 
NGC 2131, 89.69788, -26.65274, 0.005571 
IC 2153 NED01, 90.01795, -33.92017, 0.009560 
IC 2153, 90.02158, -33.91975, 0.009565 
IC 2153 NED02, 90.02263, -33.91809, 0.009440 
IC 2155, 90.16002, -33.99717, 0.049174 
NGC 2152, 90.23032, -50.74096, 0.027692 
NGC 2139, 90.28297, -23.67238, 0.006124 
IC 0441, 90.67798, -12.49926, 0.007382 
NGC 2178, 90.69835, -63.76375, 0.026882 
NGC 2187A, 90.93471, -69.58838, 0.013222 
NGC 2187, 90.95084, -69.58316, 0.013316 
NGC 2187B, 90.96840, -69.57750, 0.015074 
NGC 2199, 91.18747, -73.39978, 0.015527 
IC 2158, 91.32484, -27.85697, 0.005197 
IC 2164, 91.71777, -75.36475, 0.037473 
NGC 2179, 92.00933, -21.74667, 0.009623 
NGC 2191, 92.09939, -52.51231, 0.015050 
NGC 2188, 92.53971, -34.10621, 0.002492 
NGC 2205, 92.63653, -62.53841, 0.027969 
NGC 2196, 93.04029, -21.80593, 0.007735 
NGC 2200, 93.32337, -43.66310, 0.016305 
NGC 2201, 93.38172, -43.70469, 0.015547 
NGC 2206, 93.99930, -26.76551, 0.020938 
NGC 2207, 94.09186, -21.37266, 0.009176 
IC 2163, 94.11664, -21.37579, 0.008966 
NGC 2211, 94.62660, -18.53729, 0.006625 
NGC 2212, 94.64905, -18.51951, 0.006738 
NGC 2221, 95.06542, -57.57805, 0.008446 
NGC 2222, 95.07132, -57.53480, 0.008679 
NGC 2228, 95.31468, -64.45881, 0.024217 
NGC 2229, 95.34863, -64.95666, 0.028116 
NGC 2230, 95.36465, -64.99279, 0.026932 
NGC 2216, 95.37802, -22.08744, 0.009593 
NGC 2217, 95.41559, -27.23379, 0.005400 
NGC 2233, 95.41716, -65.03329, 0.024123 
NGC 2235, 95.59208, -64.93419, 0.027803 
NGC 2223, 96.14963, -22.83826, 0.009056 
NGC 2227, 96.49148, -22.00460, 0.007525 
NGC 2257, 97.55768, -64.32562, 0.001006 
NGC 2255, 98.49432, -34.81254, 0.022926 
NGC 2263, 99.62010, -24.84870, 0.009150 
NGC 2267, 100.21560, -32.48242, 0.005154 
NGC 2272, 100.67200, -27.45944, 0.007104 
NGC 2271, 100.72044, -23.47608, 0.008659 
NGC 2297, 101.10233, -63.71735, 0.011325 
IC 2171, 101.11543, -17.93267, 0.002618 
NGC 2280, 101.20458, -27.63845, 0.006321 
NGC 2283, 101.46994, -18.21037, 0.002805 
NGC 2274, 101.82234, 33.56713, 0.016785 
NGC 2275, 101.82463, 33.59921, 0.016435 
NGC 2295, 101.84763, -26.73625, 0.005444 
NGC 2292, 101.91523, -26.74626, 0.006791 
NGC 2293, 101.92855, -26.75436, 0.006795 
NGC 2305, 102.15528, -64.27329, 0.011671 
NGC 2307, 102.21157, -64.33544, 0.015204 
NGC 2288, 102.71656, 33.46250, 0.018139 
NGC 2289, 102.72325, 33.47882, 0.016468 
NGC 2290, 102.73722, 33.43757, 0.016822 
NGC 2291, 102.74429, 33.52519, 0.017362 
IC 0454, 102.77628, 12.92203, 0.013159 
NGC 2294, 102.79712, 33.52730, 0.017068 
NGC 2310, 103.47492, -40.86271, 0.003809 
NGC 2312, 104.69477, 10.29449, 0.084328 
IC 0456, 105.07315, -30.16364, 0.005737 
ESO 427- G 027, 105.60869, -28.71000, 0.007702 
NGC 2328, 105.65094, -42.06844, 0.003896 
NGC 2325, 105.66835, -28.69724, 0.007288 
IC 2176, 106.88259, 32.46990, 0.024644 
