# name, ra, dec, redshift 
NGC 0072, 4.61814, 30.04069, 0.024213 
NGC 0072A, 4.64291, 30.03651, 0.022399 
NGC 0073, 4.66241, -15.32239, 0.025891 
NGC 0074, 4.70587, 30.06166, 0.023646 
IC 0007, 4.72156, 10.59469, 0.017902 
IC 0006, 4.72925, -3.27602, 0.020634 
NGC 0065, 4.74461, -22.88038, 0.024327 
IC 0008, 4.76127, -3.22211, 0.020020 
NGC 0066, 4.77056, -22.93631, 0.025364 
NGC 0075, 4.85980, 6.44937, 0.019347 
NGC 0076, 4.90746, 29.93387, 0.024440 
IC 0009, 4.93327, -14.12192, 0.042102 
IC 1540, 4.95315, 23.77265, 0.019420 
NGC 0077, 5.00686, -22.53206, 0.063064 
IC 1541, 5.00819, 21.99977, 0.019767 
IC 0012, 5.06279, -2.65325, 0.020161 
IC 0013, 5.08373, 7.70068, 0.019050 
NGC 0078A, 5.10747, 0.82629, 0.016921 
NGC 0078B, 5.11465, 0.83354, 0.018268 
IC 1542, 5.17197, 22.59242, 0.024567 
IC 1543, 5.23099, 21.86597, 0.018666 
NGC 0079, 5.26195, 22.56653, 0.018296 
NGC 0080, 5.29507, 22.35714, 0.018834 
NGC 0081, 5.30537, 22.38289, 0.020447 
NGC 0087, 5.30922, -48.62856, 0.011391 
IC 1544, 5.32295, 23.09115, 0.019060 
IC 1545, 5.33713, 21.98345, 0.018806 
NGC 0088, 5.34193, -48.64034, 0.011284 
NGC 0092 GROUP, 5.34194, -48.64259, 0.011026 
NGC 0083, 5.34344, 22.43361, 0.020514 
NGC 0089, 5.35150, -48.66524, 0.010964 
NGC 0085, 5.35649, 22.51173, 0.020694 
NGC 0086, 5.36895, 22.55648, 0.018650 
NGC 0085B, 5.37095, 22.50585, 0.019413 
NGC 0092, 5.38193, -48.62467, 0.010737 
NGC 0090, 5.46410, 22.39996, 0.017856 
IC 1548, 5.47991, 22.00636, 0.019167 
NGC 0093, 5.51350, 22.40812, 0.017946 
NGC 0095, 5.55645, 10.49167, 0.017956 
NGC 0094, 5.55658, 22.48329, 0.019714 
NGC 0096, 5.57387, 22.54630, 0.020631 
NGC 0097, 5.62513, 29.74532, 0.015898 
NGC 0098, 5.70658, -45.26901, 0.020599 
IC 1549, 5.70771, 6.96434, 0.040515 
NGC 0101, 5.97761, -32.53610, 0.011284 
NGC 0099, 5.99774, 15.77046, 0.017712 
NGC 0100, 6.01243, 16.48712, 0.002815 
IC 1550, 6.11512, 38.18561, 0.019707 
NGC 0102, 6.15231, -13.95635, 0.024450 
NGC 0106, 6.18227, -5.14873, 0.020211 
NGC 0105 NED01, 6.31817, 12.89514, 0.025287 
NGC 0105 NED02, 6.31982, 12.88395, 0.017239 
NGC 0107, 6.42587, -8.28280, 0.020978 
NGC 0108, 6.49889, 29.21209, 0.015931 
NGC 0109, 6.56108, 21.80736, 0.018583 
NGC 0115, 6.69278, -33.67697, 0.006108 
NGC 0112, 6.70325, 31.70325, 0.021011 
NGC 0113, 6.72768, -2.50089, 0.014870 
NGC 0119, 6.74000, -56.97806, 0.024784 
NGC 0114, 6.74256, -1.78620, 0.013873 
NGC 0116, 6.77184, -7.66816, 0.025261 
NGC 0117, 6.79619, 1.33370, 0.017889 
NGC 0118, 6.81760, -1.78012, 0.036478 
NGC 0120, 6.87538, -1.51344, 0.013289 
IC 1551, 6.89764, 8.87736, 0.043497 
NGC 0124, 6.96818, -1.81029, 0.013543 
IC 0015, 6.99000, -0.06129, 0.046028 
IC 0016, 7.03201, -13.09387, 0.016164 
IC 0017, 7.12414, 2.64861, 0.014400 
IC 0018, 7.14574, -11.58657, 0.019967 
IC 0019, 7.16454, -11.64074, 0.020671 
IC 0020, 7.16532, -13.01022, 0.025945 
NGC 0125, 7.20903, 2.83877, 0.017699 
NGC 0126, 7.28372, 2.81110, 0.013499 
IC 0021, 7.29348, -0.16375, 0.060818 
NGC 0127, 7.30171, 2.87256, 0.013656 
NGC 0128, 7.31269, 2.86402, 0.014146 
NGC 0130, 7.32724, 2.87042, 0.014787 
IC 0022, 7.38822, -9.08072, 0.020177 
NGC 0131, 7.41053, -33.25986, 0.004703 
IC 1552, 7.43238, 21.47677, 0.018680 
NGC 0132, 7.54463, 2.09347, 0.017892 
NGC 0134, 7.59152, -33.24396, 0.005277 
IC 0023, 7.71168, -12.72016, 0.020471 
NGC 0137, 7.74202, 10.20842, 0.017599 
NGC 0138, 7.74684, 5.15979, 0.040028 
NGC 0139, 7.77665, 5.07876, 0.040671 
NGC 0142, 7.78368, -22.61869, 0.026735 
IC 0025, 7.80041, -0.40728, 0.019442 
NGC 0143, 7.81505, -22.55988, 0.026849 
NGC 0141, 7.82310, 5.17952, 0.039227 
NGC 0140, 7.83524, 30.79258, 0.021445 
NGC 0144, 7.83608, -22.64564, 0.027209 
NGC 0145, 7.94055, -5.15244, 0.013783 
NGC 0135, 7.94110, -13.33728, 0.023987 
IC 1553, 8.16730, -25.60750, 0.009790 
MAYALL II, 8.19377, 39.57794, -0.001107 
IC 0027, 8.27610, -13.37149, 0.023456 
IC 1554, 8.28072, -32.25831, 0.005791 
IC 0028, 8.28653, -13.45614, 0.021278 
NGC 0149, 8.45948, 30.72341, 0.016155 
NGC 0151, 8.51162, -9.70524, 0.012450 
IC 0029, 8.54495, -2.17752, 0.057970 
IC 0030, 8.56123, -2.08458, 0.082060 
NGC 0148, 8.56464, -31.78596, 0.006228 
NGC 0150, 8.57111, -27.80610, 0.005294 
NGC 0154, 8.58110, -12.65624, 0.026785 
IC 0031, 8.60251, 12.26848, 0.031719 
IC 1555, 8.63806, -30.01670, 0.005100 
NGC 0159, 8.64812, -55.79002, 0.027976 
NGC 0155, 8.66701, -10.76658, 0.020644 
NGC 0157, 8.69495, -8.39641, 0.005500 
IC 0032, 8.75698, -2.14166, 0.055115 
IC 1556, 8.76226, -9.36851, 0.022993 
IC 0033, 8.77143, -2.13776, 0.055645 
NGC 0167, 8.84611, -23.37478, 0.012812 
NGC 0161, 8.89136, -2.84867, 0.020311 
IC 1557, 8.89376, -2.87643, 0.020247 
IC 0034, 8.90171, 9.12427, 0.017739 
IC 1558, 8.94640, -25.37444, 0.005174 
NGC 0166, 8.95322, -13.61059, 0.020037 
NGC 0163, 8.99921, -10.12168, 0.019737 
NGC 0160, 9.01705, 23.95794, 0.017532 
NGC 0165, 9.12053, -10.10617, 0.019644 
NGC 0164, 9.13696, 2.74979, 0.019968 
NGC 0168, 9.16117, -22.59341, 0.012980 
NGC 0170, 9.19093, 1.88649, 0.014240 
NGC 0169, 9.21503, 23.99101, 0.015414 
NGC 0169A, 9.21793, 23.98486, 0.015327 
NGC 0174, 9.24649, -29.47714, 0.011905 
NGC 0173, 9.30208, 1.94224, 0.014560 
NGC 0172, 9.30675, -22.58688, 0.010167 
NGC 0171, 9.33977, -19.93425, 0.013043 
NGC 0177, 9.39304, -22.54921, 0.012792 
IC 0035, 9.41627, 10.35793, 0.015304 
NGC 0179, 9.44281, -17.84950, 0.019934 
IC 0036, 9.45679, -15.44118, 0.023213 
NGC 0180, 9.49041, 8.63520, 0.017616 
NGC 0182, 9.55159, 2.72850, 0.017545 
NGC 0181, 9.59674, 29.47249, 0.018570 
NGC 0186, 9.60543, 3.16642, 0.015551 
NGC 0183, 9.62249, 29.51118, 0.018019 
IC 1561, 9.63562, -24.34011, 0.012972 
IC 1562, 9.64150, -24.27400, 0.012565 
IC 0037, 9.64246, -15.35871, 0.053904 
NGC 0184, 9.64920, 29.44764, 0.017562 
IC 0038, 9.66149, -15.41992, 0.054561 
NGC 0190 NED01, 9.72790, 7.06274, 0.040658 
NGC 0190 NED02, 9.72804, 7.05679, 0.040361 
NGC 0191, 9.74767, -9.00259, 0.020267 
NGC 0191A, 9.75098, -9.01451, 0.020380 
NGC 0209, 9.76495, -18.60822, 0.013112 
IC 1564, 9.77140, 6.02095, 0.017535 
NGC 0178, 9.78505, -14.17261, 0.004827 
NGC 0192, 9.80598, 0.86434, 0.013787 
NGC 0196, 9.82435, 0.91277, 0.014140 
NGC 0194, 9.82679, 3.03745, 0.017439 
NGC 0193, 9.82745, 3.33112, 0.014723 
NGC 0197, 9.82826, 0.89193, 0.013702 
IC 0040, 9.83928, 2.45619, 0.018056 
NGC 0198, 9.84571, 2.79796, 0.017522 
IC 1565, 9.85952, 6.73423, 0.037809 
NGC 0187, 9.87672, -14.65648, 0.013132 
NGC 0199, 9.88815, 3.13858, 0.015351 
IC 1566, 9.88917, 6.81507, 0.039944 
NGC 0201, 9.89508, 0.85989, 0.014583 
NGC 0200, 9.89539, 2.88746, 0.017175 
NGC 0195, 9.89920, -9.19451, 0.016326 
NGC 0203, 9.91474, 3.44289, 0.017886 
NGC 0202, 9.91606, 3.53636, 0.013316 
IC 0041, 9.91832, -14.17459, 0.013206 
NGC 0207, 9.91964, -14.23705, 0.013276 
NGC 0204, 9.93444, 3.29955, 0.017986 
IC 1568, 9.98315, 6.84860, 0.040021 
NGC 0212, 10.05559, -56.15300, 0.027552 
NGC 0208, 10.07328, 2.75645, 0.017072 
IC 1569, 10.11685, 6.71967, 0.037846 
IC 1570, 10.14208, 6.75269, 0.037036 
NGC 0210, 10.14592, -13.87281, 0.005464 
IC 1571, 10.15784, -0.33074, 0.019503 
NGC 0215, 10.20371, -56.21414, 0.027502 
IC 0042, 10.27431, -15.42803, 0.054745 
NGC 0213, 10.29164, 16.46931, 0.018166 
NGC 0216, 10.36059, -21.04555, 0.005150 
NGC 0214, 10.36688, 25.49951, 0.015134 
NGC 0217, 10.39119, -10.02140, 0.013116 
IC 1573, 10.54357, -23.59160, 0.056139 
NGC 0219, 10.54712, 0.90458, 0.018190 
NGC 0223, 10.56618, 0.84552, 0.017876 
IC 0043, 10.59192, 29.64173, 0.016201 
NGC 0230, 10.61311, -23.62886, 0.022546 
NGC 0227, 10.65341, -1.52873, 0.017907 
NGC 0232, 10.69089, -23.56140, 0.022639 
NGC 0232 E, 10.72004, -23.54105, 0.022913 
NGC 0235B, 10.72404, -23.54553, 0.022676 
NGC 0226, 10.72527, 32.58096, 0.016111 
NGC 0228, 10.72708, 23.50310, 0.024654 
IC 0047, 10.72919, -13.74072, 0.042829 
IC 0046, 10.74161, 27.25367, 0.017632 
IC 1574, 10.76486, -22.24313, 0.001204 
NGC 0229, 10.76949, 23.50911, 0.024574 
NGC 0238, 10.85732, -50.18285, 0.029517 
NGC 0236, 10.86478, 2.95822, 0.018823 
NGC 0237, 10.86614, -0.12484, 0.013906 
NGC 0234, 10.88499, 14.34272, 0.014875 
IC 1575A, 10.88813, -4.11770, 0.019173 
IC 1575, 10.88908, -4.11779, 0.019337 
IC 1575B, 10.89062, -4.11992, 0.019173 
IC 0048, 10.89357, -8.18652, 0.019880 
NGC 0233, 10.90243, 30.58697, 0.018086 
IC 0049, 10.98392, 1.85031, 0.015204 
IC 1576, 11.05897, -25.10935, 0.054131 
IC 1578, 11.10769, -25.07736, 0.022479 
NGC 0239, 11.15622, -3.75935, 0.012632 
NGC 0240, 11.25802, 6.11329, 0.040825 
IC 1579, 11.38516, -26.56523, 0.022786 
IC 1581, 11.44323, -25.91995, 0.036900 
NGC 0244, 11.44351, -15.59686, 0.003139 
NGC 0243, 11.50357, 29.95957, 0.015968 
NGC 0245, 11.52247, -1.72338, 0.013606 
IC 0050, 11.52378, -9.50299, 0.020104 
WISEA J004615.62-252209.6, 11.56509, -25.36935, 0.071500 
IC 1582, 11.57016, -24.27926, 0.035281 
WISEA J004617.78-251948.2, 11.57411, -25.33007, 0.066146 
IC 0051, 11.60097, -13.44224, 0.005736 
